DateTime,AddedIPs,RemovedIPs
1605805954,14,17
1605813156,24,12
1605820373,19,19
1605827551,22,15
1605834799,19,44
1605841952,41,36
1605849150,34,16
1605856354,21,16
1605863809,20,17
1605870996,22,17
1605878308,19,25
1605885630,14,11
1605892361,20,17
1605899577,63,16
1605906755,24,17
1605913972,14,24
1605921393,21,51
1605928831,44,27
1605936034,32,15
1605943251,10,17
1605950678,22,18
1605957878,11,16
1605965078,16,20
1605972517,13,17
1605977592,2,0
1605979717,0,19
1605980433,18,0
1605986917,0,13
1605987636,21,0
1605994839,12,11
1606002752,14,31
1606009954,21,46
1606017169,40,29
1606024354,29,15
1606031588,16,14
1606038754,19,12
1606046678,13,20
1606053873,16,24
1606061315,55,16
1606068050,14,14
1606074037,13,0
1606074752,0,12
1606076214,1,0
1606082678,17,15
1606090590,19,23
1606097792,27,49
1606104995,40,25
1606112194,32,19
1606119394,22,16
1606126597,23,12
1606133799,16,17
1606140999,20,23
1606143151,2,0
1606148194,11,18
1606152518,8,0
1606153955,11,0
1606156118,0,15
1606158283,57,0
1606161183,8,0
1606162598,0,15
1606165456,13,0
1606169767,13,16
1606173367,10,0
1606180566,21,29
1606187872,51,48
1606195838,35,17
1606203206,18,13
1606209883,16,8
1606216597,19,22
1606224033,22,20
1606231234,18,11
1606237721,15,12
1606240600,5,0
1606244210,52,10
1606246358,7,0
1606252119,12,22
1606253579,14,0
1606260283,12,12
1606267490,28,27
1606274701,44,51
1606282591,40,20
1606289791,17,24
1606296996,13,11
1606304191,18,9
1606311394,16,16
1606319310,29,13
1606326037,52,17
1606333259,13,15
1606336110,3,0
1606339007,8,18
1606346191,17,14
1606353882,28,40
1606361078,49,43
1606368278,36,23
1606375209,16,15
1606382410,20,23
1606389610,23,12
1606396807,14,18
1606404008,15,9
1606411455,21,23
1606418656,17,18
1606420088,3,0
1606422253,5,0
1606426085,14,17
1606426815,1,0
1606433286,13,16
1606440485,25,47
1606447685,41,42
1606454885,39,21
1606462085,20,17
1606469289,20,8
1606477206,22,20
1606484416,17,22
1606491651,11,21
1606497152,7,0
1606498591,0,16
1606502910,11,0
1606510114,19,17
1606516117,1,11
1606516831,7,0
1606518992,4,0
1606526214,16,20
1606533390,49,48
1606540609,40,31
1606547790,20,15
1606555008,18,15
1606562168,17,14
1606569371,20,16
1606576570,16,19
1606583802,22,11
1606591935,16,19
1606598408,20,15
1606605870,19,11
1606613286,23,21
1606620487,40,51
1606627688,37,24
1606635132,26,16
1606641609,11,18
1606648807,17,13
1606656008,17,17
1606663930,13,13
1606669690,9,16
1606673655,13,14
1606676654,7,0
1606679172,14,0
1606681232,4,16
1606686271,9,0
1606692753,16,18
1606700189,20,24
1606707628,45,43
1606714807,31,28
1606722009,19,11
1606729211,10,22
1606736407,14,14
1606743847,21,23
1606751051,15,23
1606758247,18,20
1606765447,27,24
1606769048,11,12
1606773367,9,0
1606779854,16,17
1606787287,28,32
1606794485,43,54
1606801686,31,30
1606808890,15,7
1606816087,19,16
1606823287,18,16
1606830008,24,19
1606837487,17,9
1606842745,3,23
1606846574,11,0
1606853768,16,17
1606860995,14,17
1606862415,2,0
1606864572,4,12
1606871770,29,35
1606874655,4,0
1606875399,3,0
1606877770,18,0
1606878490,0,43
1606879928,29,0
1606882812,1,0
1606887909,39,14
1606890969,12,0
1606898169,21,17
1606905368,17,13
1606912571,13,18
1606920488,25,24
1606927687,23,15
1606934433,21,18
1606941664,19,10
1606949075,12,16
1606956274,18,32
1606963719,36,52
1606970912,37,27
1606978131,24,13
1606985314,21,15
1606992752,22,12
1607000236,16,17
1607006921,15,14
1607014351,22,24
1607021792,19,20
1607029245,21,14
1607036441,15,16
1607043640,22,20
1607050850,34,50
1607058045,36,35
1607065261,21,11
1607073155,17,22
1607080353,16,13
1607087593,19,20
1607094991,26,11
1607102436,19,13
1607109638,18,20
1607116834,18,8
1607124040,12,24
1607131236,28,39
1607138438,40,37
1607145640,27,15
1607153555,21,15
1607160754,17,12
1607167952,15,14
1607175154,14,7
1607183123,16,0
1607190517,19,13
1607196996,17,38
1607204193,20,15
1607212132,22,54
1607219314,23,42
1607226533,40,37
1607233715,26,11
1607240929,13,9
1607248117,21,14
1607255551,13,24
1607262756,17,75
1607269968,10,23
1607277878,17,15
1607285083,21,19
1607292278,14,18
1607299076,19,18
1607306440,22,46
1607313645,38,26
1607320841,32,13
1607328044,15,13
1607335952,25,16
1607343153,25,8
1607350352,16,7
1607357552,18,13
1607364997,17,13
1607372196,14,22
1607379391,13,17
1607386835,13,23
1607394033,29,42
1607401231,38,29
1607408691,22,11
1607415875,19,20
1607423095,15,7
1607430276,15,24
1607437958,20,13
1607445151,14,14
1607452356,23,25
1607459570,21,16
1607467470,16,18
1607474682,20,32
1607481154,21,0
1607487634,42,38
1607494146,22,29
1607501324,21,13
1607508555,27,8
1607515719,6,23
1607516434,1,0
1607517184,12,14
1607525073,13,53
1607531824,10,21
1607539235,20,0
1607546678,14,33
1607553392,17,0
1607560593,24,9
1607567818,2,47
1607569243,42,40
1607576675,31,21
1607580990,10,0
1607588651,19,14
1607596092,23,16
1607603289,17,6
1607610491,12,39
1607618012,7,19
1607625150,17,18
1607631873,19,27
1607639131,17,19
1607646274,23,16
1607653714,28,47
1607660923,42,36
1607668129,29,19
1607676029,19,10
1607683229,15,13
1607690430,14,21
1607697634,22,45
1607704829,8,32
1607712029,22,17
1607719230,22,16
1607726432,12,20
1607733629,17,33
1607741527,24,44
1607748989,30,27
1607755689,16,16
1607762890,18,12
1607770086,14,21
1607777291,14,35
1607785213,11,65
1607792416,18,15
1607799682,22,17
1607806330,16,9
1607813559,12,38
1607821453,19,26
1607828656,41,41
1607836086,31,25
1607843287,11,14
1607850492,25,16
1607857690,19,15
1607865655,16,23
1607872805,16,21
1607880005,21,27
1607887207,26,28
1607894648,28,22
1607902091,11,10
1607909293,20,33
1607916779,39,37
1607923477,24,17
1607931365,17,13
1607938090,16,13
1607946010,13,8
1607953237,19,14
1607960676,17,19
1607967907,19,15
1607975078,27,29
1607982514,20,85
1607989749,19,14
1607996430,24,34
1608003631,46,35
1608011072,33,15
1608018277,17,8
1608025499,17,12
1608033643,26,11
1608040108,17,16
1608047316,16,19
1608054756,18,21
1608062187,19,24
1608069660,15,13
1608077079,16,27
1608083789,21,45
1608091030,50,33
1608098912,27,23
1608106117,18,10
1608113556,15,13
1608120780,14,17
1608127950,23,18
1608135198,22,0
1608142351,36,23
1608149766,12,50
1608157238,20,27
1608164406,16,23
1608171637,28,40
1608179299,58,31
1608186491,24,14
1608193690,25,13
1608200893,14,12
1608208349,29,10
1608215526,24,8
1608222967,15,13
1608230167,27,12
1608237426,24,21
1608244596,19,26
1608252046,19,40
1608259233,36,5
1608266463,43,33
1608274351,19,46
1608281549,23,13
1608288754,21,15
1608295953,20,13
1608303154,15,17
1608310596,18,24
1608317791,19,10
1608324993,23,22
1608332916,22,39
1608340117,26,10
1608346836,43,12
1608354044,38,42
1608361250,16,63
1608368477,21,14
1608375880,25,10
1608383313,17,18
1608390531,21,21
1608397951,16,0
1608405150,19,14
1608412350,21,22
1608419550,17,20
1608426753,17,16
1608433982,51,80
1608441878,37,23
1608449310,22,27
1608456514,15,13
1608463710,21,9
1608471157,24,18
