DateTime,AddedIPs,RemovedIPs
1608237282,13,67
1608239590,9,249
1608240893,126,27
1608243893,215,33
1608245458,5,13
1608248090,12,20
1608251148,14,12
1608252647,9,10
1608255291,18,16
1608256669,6,3
1608258354,3,6
1608258890,5,5
1608261955,38,8
1608262490,12,8
1608266096,36,19
1608269151,17,8
1608271862,12,19
1608273951,20,23
1608275791,140,15
1608276891,127,21
1608279947,498,32
1608281450,10,38
1608283326,15,12
1608284087,14,16
1608286669,25,11
1608287686,6,14
1608291281,27,25
1608292602,6,8
1608293877,12,11
1608294877,4,8
1608299444,37,70
1608302081,18,115
1608303388,7,1
1608305151,13,12
1608305682,1,8
1608306805,3,3
1608308064,6,6
1608309279,6,9
1608310527,13,3
1608312883,28,15
1608315615,10,12
1608316485,4,7
1608317987,2,13
1608319544,14,1
1608320082,3,92
1608321466,15,52
1608323145,14,79
1608323679,9,8
1608324887,6,2
1608326512,5,6
1608327287,4,5
1608330885,16,12
1608332245,16,3
1608334488,24,6
1608337290,12,11
1608338094,4,7
1608341687,14,15
1608345289,10,19
1608347350,13,12
1608348891,11,19
1608351808,20,10
1608352498,2,10
1608353636,5,7
1608356089,18,16
1608358120,17,12
1608360647,30,21
1608361858,141,11
1608363284,14,13
1608365033,18,17
1608366885,32,14
1608369050,15,19
1608370482,8,9
1608371739,3,5
1608373546,8,16
1608375052,11,20
1608377681,19,35
1608380442,23,14
1608381286,1,22
1608384352,3,21
1608385645,10,22
1608388483,21,17
1608391540,10,16
1608392890,12,16
1608395686,18,20
1608399286,14,24
1608402879,15,19
1608405944,19,6
1608407159,5,16
1608410091,518,52
1608411783,414,164
1608413153,5,6
1608414588,14,21
1608417278,17,19
1608419964,63,11
1608420898,162,11
1608423503,466,22
1608424494,9,18
1608425626,7,3
1608426943,8,11
1608428199,7,4
1608431681,21,25
1608433444,10,17
1608434751,3,2
1608436288,3,7
1608438891,14,14
1608441170,20,8
1608442485,6,10
1608446087,37,58
1608449679,63,599
1608452747,16,15
1608453283,5,8
1608456881,35,31
1608458005,10,7
1608459462,11,10
1608460482,42,10
1608462272,56,5
1608463541,9,1
1608465043,15,12
1608466480,12,11
1608467602,9,16
1608470387,17,11
1608471662,14,12
1608474350,7,7
1608475651,5,18
1608478484,11,18
1608479697,5,4
1608481187,7,5
1608482086,7,10
1608485687,21,40
1608486956,10,4
1608488746,12,10
1608489279,5,10
1608490494,4,9
1608492348,8,20
1608493500,7,19
1608496485,480,20
1608498171,601,8
1608500091,8,14
1608501461,7,9
1608503141,28,14
1608503689,18,14
1608506750,35,12
1608508239,7,11
1608510219,9,4
1608510882,3,9
1608513829,15,27
1608514495,2,5
1608515872,8,5
1608517535,9,9
1608518089,6,8
1608521153,17,8
1608521688,2,7
1608523185,3,4
1608524429,9,2
1608525303,4,13
1608527619,11,11
1608529031,10,10
1608530500,13,103
1608532486,20,23
1608533656,8,4
1608535308,14,14
1608536085,4,27
1608537374,5,4
1608538501,6,11
1608539673,7,9
1608542404,16,7
1608543283,3,10
1608544547,12,4
1608546348,10,12
1608547872,13,14
1608549690,20,14
1608550483,7,9
1608552372,21,7
1608553545,12,1
1608555033,11,13
1608557689,17,25
1608558970,7,3
1608560743,12,11
1608562126,7,22
1608564874,27,42
1608566224,26,12
1608568483,20,18
1608569765,8,5
1608570899,10,8
1608572086,10,12
1608573363,10,2
1608575149,9,5
1608575682,5,10
1608579995,30,317
1608581324,10,518
1608583003,553,28
1608584836,607,15
1608586488,8,21
1608587950,4,8
1608589545,9,2
1608591046,10,241
1608592961,7,304
1608593686,2,59
1608595804,9,16
1608597287,9,12
1608598671,7,4
1608600346,9,5
1608600884,4,10
1608604484,23,27
1608606226,11,6
1608607552,9,0
1608609059,12,15
1608610329,12,6
1608611700,8,6
1608613854,21,12
1608615515,10,26
1608617598,21,54
1608618890,8,8
1608622490,30,18
1608624233,21,12
1608626085,10,33
1608627264,6,5
1608628566,13,10
1608629687,8,32
1608631260,11,56
1608633292,10,10
1608634576,5,5
1608636880,13,24
1608638923,12,13
1608640715,10,14
1608643548,12,11
1608644083,3,17
1608645546,2,8
1608646916,3,1
1608647685,6,9
1608648903,8,7
1608650021,10,9
1608651364,16,13
1608652481,11,5
1608653836,4,12
1608654882,8,10
1608656368,11,18
1608657953,5,4
1608658487,5,7
1608659602,10,3
1608661107,12,9
1608662085,5,7
1608665680,27,413
1608667827,20,638
1608669287,12,12
1608671291,38,4
1608672933,14,44
1608675577,25,48
1608676514,9,5
1608679124,34,11
1608680085,8,4
1608682068,19,9
1608684793,22,11
1608686750,22,4
1608688249,9,10
1608690048,13,10
1608690891,7,13
1608692112,14,2
1608693783,8,7
