DateTime,AddedIPs,RemovedIPs
1608239575,38,41
1608240881,18,57
1608243883,52,56
1608245440,20,40
1608248079,37,66
1608251138,36,53
1608252636,9,65
1608255280,27,91
1608256659,15,15
1608258343,31,23
1608258878,8,44
1608261943,36,70
1608262479,11,47
1608266085,30,139
1608269142,23,68
1608271853,34,105
1608273936,27,80
1608275764,33,93
1608276882,21,79
1608279938,65,58
1608281439,35,26
1608283307,29,22
1608284078,14,26
1608286654,23,26
1608287677,12,21
1608291273,34,32
1608292592,13,7
1608293863,13,15
1608297937,47,57
1608299435,14,36
1608302071,20,63
1608303378,10,13
1608305143,18,35
1608305674,7,39
1608306789,11,11
1608308052,30,35
1608309271,14,40
1608310518,20,20
1608312874,27,69
1608315599,31,47
1608316477,8,52
1608317971,20,24
1608319535,16,8
1608320072,6,49
1608321450,15,28
1608323136,21,53
1608323670,6,59
1608324878,12,18
1608326500,24,59
1608327275,4,45
1608330876,38,131
1608332228,14,30
1608334476,30,130
1608337271,32,94
1608338083,17,100
1608341677,36,177
1608345278,26,222
1608347333,21,119
1608348880,7,90
1608351793,13,114
1608352482,5,116
1608353627,7,38
1608356080,6,191
1608358112,17,189
1608360637,13,278
1608361847,4,167
1608363274,13,174
1608364995,15,143
1608366875,7,127
1608369040,17,81
1608370474,13,93
1608371730,12,30
1608373538,31,66
1608375044,16,68
1608377670,21,41
1608380429,25,22
1608381277,8,14
1608384343,21,16
1608385636,20,33
1608388473,33,25
1608391531,22,13
1608392880,12,27
1608395677,42,41
1608399277,42,40
1608402868,25,56
1608405935,45,17
1608407148,16,24
1608410082,31,47
1608411758,16,36
1608413140,14,2
1608414580,27,23
1608417270,34,35
1608419948,21,29
1608420886,8,31
1608423476,19,28
1608424482,6,15
1608425616,10,4
1608426927,10,10
1608428187,5,18
1608431672,28,35
1608433417,18,11
1608434742,11,3
1608436275,12,17
1608438879,17,33
1608441159,17,21
1608445537,88,56
1608446076,14,37
1608449670,123,55
1608452738,73,15
1608453274,10,14
1608456871,28,23
1608457991,13,7
1608459454,13,7
1608460472,23,18
1608462255,26,17
1608463532,10,2
1608465033,13,16
1608466472,15,19
1608467594,13,14
1608470377,27,20
1608471654,11,17
1608474341,24,14
1608475632,18,13
1608478474,29,42
1608479688,5,7
1608481179,12,28
1608482077,17,20
1608485678,35,43
1608486948,12,16
1608488736,21,19
1608489270,4,19
1608490485,13,6
1608492339,31,20
1608493489,11,29
1608496475,23,57
1608498152,13,36
1608500080,22,15
1608501451,12,10
1608503131,13,13
1608503679,6,19
1608506739,34,19
1608508229,18,33
1608510206,13,14
1608510871,7,15
1608514482,45,29
1608515862,16,5
1608517525,10,21
1608518078,9,10
1608521140,32,13
1608521678,6,15
1608523173,15,8
1608524402,9,6
1608525282,11,7
1608527607,18,8
1608529015,22,7
1608530473,16,8
1608532478,24,14
1608533637,11,6
1608535280,16,12
1608536075,6,4
1608537364,9,9
1608538491,16,8
1608539664,14,13
1608542385,31,16
1608543273,12,34
1608544537,15,7
1608546337,22,10
1608547855,13,18
1608549673,19,15
1608550473,2,10
1608552354,31,13
1608553535,14,5
1608557136,30,28
1608557677,3,25
1608558961,15,4
1608560735,25,13
1608562109,16,19
1608566215,45,48
1608567936,15,13
1608568474,6,20
1608569749,12,11
1608570890,16,16
1608572078,17,9
1608573352,22,2
1608575141,21,14
1608575674,12,23
1608578386,24,28
1608579984,14,23
1608581315,13,14
1608582994,33,51
1608584819,28,46
1608586477,30,25
1608587933,22,11
1608589536,15,7
