DateTime,Entries,UniqueIPs
1608258866,15008,15008
1608261930,14997,14997
1608262467,14949,14949
1608266073,14835,14835
1608269129,14841,14841
1608271841,14786,14786
1608273922,14758,14758
1608275746,14713,14713
1608276868,14674,14674
1608279927,14705,14705
1608281427,14715,14715
1608283284,14735,14735
1608284067,14729,14729
1608286644,14751,14751
1608287664,14762,14762
1608291262,14822,14822
1608292582,14860,14860
1608293849,14888,14888
1608294863,14882,14882
1608297923,14908,14908
1608299426,14896,14896
1608302061,14866,14866
1608303367,14897,14897
1608305122,14901,14901
1608305664,14865,14865
1608306779,14881,14881
1608308041,14888,14888
1608309259,14896,14896
1608310506,14921,14921
1608312864,14881,14881
1608315589,14882,14882
1608316467,14840,14840
1608317903,14860,14860
1608319523,14881,14881
1608320061,14834,14834
1608321430,14862,14862
1608323125,14834,14834
1608323660,14780,14780
1608324868,14793,14793
1608326488,14773,14773
1608327264,14734,14734
1608330864,14688,14688
1608332217,14671,14671
1608334464,14572,14572
1608337258,14522,14522
1608338070,14442,14442
1608341664,14314,14314
1608345265,14157,14157
1608347321,14069,14069
1608348868,13994,13994
1608351781,13904,13904
1608352466,13797,13797
1608353612,13787,13787
1608356067,13609,13609
1608358102,13422,13422
1608360625,13160,13160
1608361834,13007,13007
1608363263,12841,12841
1608364974,12725,12725
1608366864,12616,12616
1608369031,12573,12573
1608370464,12497,12497
1608371719,12497,12497
1608373525,12486,12486
1608375031,12456,12456
1608377660,12472,12472
1608380418,12499,12499
1608381263,12485,12485
1608384330,12525,12525
1608385623,12509,12509
1608388463,12511,12511
1608391521,12577,12577
1608392869,12526,12526
1608395664,12547,12547
1608399264,12571,12571
1608402859,12533,12533
1608405923,12560,12560
1608407132,12504,12504
1608410071,12496,12496
1608411722,7967,7967
1608413129,12533,12533
1608414569,12510,12510
1608417257,7967,7967
1608419935,12496,12496
1608420874,12465,12465
1608423465,12469,12469
1608424469,12455,12455
1608425606,12464,12464
1608426911,12452,12452
1608428173,12437,12437
1608431660,12411,12411
1608433388,12419,12419
1608434730,12448,12448
1608436258,12432,12432
1608438866,12402,12402
1608441147,12399,12399
1608442464,12391,12391
1608446066,12396,12396
1608449659,12486,12486
1608452726,12590,12590
1608453263,12569,12569
1608456861,12592,12592
1608457977,12605,12605
1608459438,12623,12623
1608460462,12620,12620
1608462241,12626,12626
1608463522,12665,12665
1608465023,12768,12768
1608466459,7967,7967
1608467580,12898,12898
1608470367,13028,13028
1608471643,13033,13033
1608474326,13090,13090
1608475599,13084,13084
1608478464,13053,13053
1608479677,13064,13064
1608481169,13056,13056
1608482066,13049,13049
1608485665,13041,13041
1608486937,13073,13073
1608488724,13170,13170
1608489260,13141,13141
1608490475,13149,13149
1608492323,13177,13177
1608493479,13162,13162
1608496464,13118,13118
1608498124,13070,13070
1608500066,13083,13083
1608501436,13110,13110
1608503122,13131,13131
1608503667,13104,13104
1608506726,13176,13176
1608508215,13177,13177
1608510193,13180,13180
1608510861,13166,13166
1608513817,7967,7967
