DateTime,AddedIPs,RemovedIPs
1608251140,11,20
1608252639,3,10
1608255282,19,9
1608256661,0,4
1608258345,7,7
1608258880,8,4
1608261946,8,12
1608262481,0,2
1608266088,13,13
1608269144,10,7
1608271855,10,8
1608273942,6,13
1608275775,6,10
1608276883,4,6
1608279940,15,14
1608281441,3,6
1608283308,11,8
1608284080,0,5
1608286656,5,13
1608287679,6,2
1608291274,27,17
1608292594,9,3
1608293869,7,7
1608294868,2,7
1608297939,2,17
1608299437,2,4
1608302073,11,19
1608303380,67,2
1608305145,2,17
1608305676,2,3
1608306791,22,7
1608308054,4,21
1608309272,2,11
1608310520,5,14
1608312876,6,17
1608315601,12,11
1608316479,9,2
1608317974,3,9
1608319537,2,6
1608320074,4,7
1608321452,7,1
1608323138,8,1
1608323672,2,5
1608324880,7,7
1608326503,9,7
1608327278,3,3
1608330878,51,22
1608332236,7,7
1608334478,3,10
1608337280,5,14
1608338086,4,4
1608341678,14,17
1608345280,15,21
1608347336,3,8
1608348882,4,4
1608351800,4,12
1608352487,4,5
1608353629,4,3
1608356082,4,7
1608358113,9,6
1608360639,7,9
1608361849,6,11
1608363276,1,7
1608365015,3,7
1608366878,8,9
1608369043,1,12
1608370476,1,7
1608371732,3,6
1608373539,2,4
1608375046,4,7
1608377672,1,4
1608380432,4,13
1608381279,3,0
1608384344,7,3
1608385637,6,3
1608388475,10,8
1608391533,1,8
1608392882,2,4
1608395678,5,6
1608399279,4,6
1608402870,17,4
1608405937,20,9
1608407150,1,14
1608410084,5,7
1608411761,8,10
1608413143,7,9
1608414581,3,5
1608417271,7,8
1608419950,6,8
1608420888,7,3
1608423482,15,7
1608424483,3,8
1608425617,3,6
1608426935,6,4
1608428191,3,5
1608431674,15,9
1608433425,2,3
1608434744,7,6
1608436279,2,5
1608438882,4,9
1608441161,8,6
1608445540,17,10
1608446079,2,2
1608449671,15,13
1608452740,5,14
1608453276,1,4
1608456874,8,12
1608457998,3,3
1608459455,12,4
1608460475,2,5
1608462259,5,4
1608463534,0,5
1608465035,0,2
1608466474,0,5
1608467595,8,4
1608470379,2,3
1608471656,1,4
1608474343,7,3
1608475638,3,4
1608478476,4,1
1608479689,2,1
1608481181,0,3
1608482079,2,1
1608485680,1,5
1608486949,0,4
1608488738,2,2
1608489272,2,1
1608490488,11,1
1608492341,6,3
1608493491,1,3
1608496477,6,4
1608498159,5,9
1608500082,5,6
1608501453,6,3
1608503133,2,4
1608503681,2,2
1608506742,13,5
1608508232,2,7
1608510208,1,7
1608510874,2,0
1608513821,7,6
1608514484,2,2
1608515864,7,4
1608517526,2,7
1608518080,3,2
1608521143,12,6
1608521680,8,3
1608523176,11,9
1608524405,6,2
1608525294,2,3
1608527610,6,7
1608529023,6,3
1608530484,7,5
1608532479,3,3
1608533640,3,2
1608535288,4,5
1608536077,1,0
1608537367,1,1
1608538493,0,2
1608539666,4,6
1608542389,12,6
1608543274,4,5
1608544539,5,5
1608546339,4,5
1608547858,1,8
1608549675,7,4
1608550475,3,4
1608552358,4,7
1608553537,2,6
1608555026,6,5
1608557678,9,9
1608558963,2,3
1608560737,3,5
1608562116,6,1
1608564867,4,7
1608566217,9,4
1608567938,5,6
1608568476,2,0
1608569753,3,5
1608570892,5,4
1608572080,4,5
1608573354,1,2
1608575142,10,10
1608575675,1,1
1608578388,11,14
1608579986,5,5
1608581317,6,3
1608582996,13,8
1608584821,14,5
1608586479,5,12
1608587942,3,5
1608589538,6,4
1608591038,3,6
1608592954,5,7
1608593678,1,1
1608595796,3,5
1608597279,7,5
1608598662,3,2
1608600338,0,5
1608600875,1,0
1608604477,9,9
1608606189,7,3
1608607542,3,4
1608609046,2,7
1608610322,6,1
1608611689,1,4
1608613846,3,1
1608615508,11,6
1608617586,6,4
1608618882,4,8
1608622481,7,10
1608624202,4,8
1608626078,10,5
1608627249,5,8
1608628554,4,7
1608629680,8,7
1608631195,4,6
1608632516,0,4
1608633282,1,2
1608634569,1,9
1608636873,7,6
1608638915,1,5
1608640700,1,4
1608643541,4,4
1608644075,2,2
1608645538,3,4
1608646909,2,3
1608647678,4,3
1608648890,4,3
1608650010,8,1
1608651356,5,7
1608652474,0,4
1608653829,2,3
1608654876,3,4
1608656361,3,1
1608657946,2,6
1608658479,2,0
1608659588,6,3
1608661095,1,4
1608662077,4,5
1608665672,15,5
1608667816,3,2
1608669279,2,5
1608671280,7,6
1608672924,4,5
1608676505,12,10
1608679115,10,6
1608680076,6,4
1608682060,4,8
1608684781,15,6
1608686741,9,6
1608688241,10,5
1608690039,10,5
1608690882,3,3
1608692103,10,7
1608693776,6,8
1608694475,3,5
1608697010,1,13
1608698081,1,4
1608699230,1,2
1608701675,9,10
1608703417,3,5
1608705280,5,1
1608706453,5,6
1608708337,8,6
1608708877,2,5
1608711740,9,12
1608712472,3,4
1608713682,2,3
1608715539,3,1
