DateTime,Entries,UniqueIPs
1607838651,1282,1282
1607841277,1282,1282
1607843522,1277,1277
1607845415,1268,1268
1607847024,1264,1264
1607848478,1258,1258
1607850250,1258,1258
1607853698,1259,1259
1607855683,1260,1260
1607856916,1260,1260
1607859280,1259,1259
1607859878,1260,1260
1607861073,1260,1260
1607862887,1260,1260
1607865386,1259,1259
1607873138,1264,1264
1607873683,1264,1264
1607874965,1269,1269
1607876741,1274,1274
1607877276,1275,1275
1607879388,1276,1276
1607882815,1276,1276
1607884474,1278,1278
1607886726,1281,1281
1607889195,1283,1283
1607890487,1285,1285
1607895288,1287,1287
1607896960,1291,1291
1607898346,1293,1293
1607901168,1296,1296
1607902488,1297,1297
1607906079,1306,1306
1607909143,1309,1309
1607909683,1288,1288
1607910823,1280,1280
1607912743,1261,1261
1607914068,1248,1248
1607916343,1250,1250
1607917666,1253,1253
1607920497,1261,1261
1607923160,1274,1274
1607925451,1274,1274
1607934881,1273,1273
1607938478,1272,1272
1607940407,1273,1273
1607941538,1275,1275
1607944098,1272,1272
1607945682,1272,1272
1607947700,1268,1268
1607952371,1269,1269
1607952877,1271,1271
1607954205,1274,1274
1607956476,1275,1275
1607958970,1277,1277
1607960082,1278,1278
1607961324,1280,1280
1607963674,1279,1279
1607964884,1280,1280
1607968607,1281,1281
1607970347,1280,1280
1607973508,1278,1278
1607975440,1277,1277
1607977533,1274,1274
1607981680,1275,1275
1607984745,1277,1277
1607995549,1278,1278
1607997044,1276,1276
1608006886,1273,1273
1608008858,1269,1269
1608010493,1273,1273
1608016203,1273,1273
1608017679,1274,1274
1608018894,1275,1275
1608021282,1276,1276
1608023352,1276,1276
1608024877,1277,1277
1608026198,1276,1276
1608027795,1275,1275
1608030836,1278,1278
1608033027,1277,1277
1608034350,1277,1277
1608035944,1274,1274
1608039282,1277,1277
1608040972,1276,1276
1608044008,1277,1277
1608046522,1276,1276
1608050080,1277,1277
1608053676,1275,1275
1608055833,1275,1275
1608059283,1274,1274
1608060885,1273,1273
1608063221,1272,1272
1608064480,1270,1270
1608067135,1271,1271
1608069042,1271,1271
1608070263,1271,1271
1608071674,1270,1270
1608072866,1271,1271
1608073968,1270,1270
1608075279,1269,1269
1608076425,1268,1268
1608078345,1266,1266
1608079844,1267,1267
1608081649,1266,1266
1608083453,1275,1275
1608085551,1279,1279
1608086813,1281,1281
1608088903,1278,1278
1608090402,1275,1275
1608093293,1255,1255
1608096165,1253,1253
1608097836,1250,1250
1608099784,1249,1249
1608101118,1248,1248
1608104079,1250,1250
1608107679,1246,1246
1608112227,1248,1248
1608113358,1249,1249
1608114889,1248,1248
1608117882,1247,1247
1608119443,1248,1248
1608122067,1247,1247
1608123225,1248,1248
1608124997,1249,1249
1608125679,1250,1250
1608126972,1251,1251
1608129280,1250,1250
1608130774,1249,1249
1608132052,1251,1251
1608132875,1252,1252
1608135939,1254,1254
1608139514,1255,1255
1608140091,1254,1254
1608142319,1254,1254
1608145377,1255,1255
1608147964,1254,1254
1608151576,1256,1256
1608156678,1257,1257
1608160465,1258,1258
1608163032,1260,1260
1608164741,1261,1261
1608168888,1263,1263
1608171503,1265,1265
1608172710,1264,1264
1608174204,1264,1264
1608182746,1265,1265
1608184241,1265,1265
1608186883,1266,1266
1608190502,1265,1265
1608193347,1266,1266
1608194077,1267,1267
1608195418,1267,1267
1608197683,1266,1266
1608199208,1265,1265
1608204100,1266,1266
1608204879,1263,1263
1608211542,1264,1264
1608212091,1265,1265
1608216248,1267,1267
1608217921,1266,1266
1608219284,1265,1265
1608220459,1267,1267
1608223844,1266,1266
1608225048,1260,1260
1608226480,1262,1262
1608228395,1263,1263
1608230085,1265,1265
1608233681,1266,1266
1608235402,1268,1268
1608237278,1267,1267
1608239582,1268,1268
1608240888,1269,1269
1608243889,1271,1271
1608245449,1272,1272
1608248084,1271,1271
1608252642,1272,1272
1608255286,1258,1258
1608258349,1258,1258
1608258884,1258,1258
1608261949,1259,1259
1608262485,1258,1258
1608266091,1264,1264
1608271857,1266,1266
1608273945,1265,1265
1608275782,1267,1267
1608279943,1271,1271
1608286659,1272,1272
1608291277,1270,1270
1608292597,1270,1270
1608293872,1272,1272
1608294872,1268,1268
1608297941,1269,1269
1608302076,1267,1267
1608303383,1268,1268
1608305147,1267,1267
1608306794,1268,1268
1608308056,1267,1267
1608309275,1266,1266
1608312878,1267,1267
1608315604,1268,1268
1608320077,1267,1267
1608323675,1266,1266
1608324883,1267,1267
1608327281,1266,1266
1608330881,1267,1267
1608338088,1267,1267
1608341681,1265,1265
1608345284,1263,1263
1608351803,1264,1264
1608352491,1262,1262
1608356085,1264,1264
1608358116,1266,1266
1608365024,1265,1265
1608373542,1262,1262
1608377675,1261,1261
1608380435,1263,1263
1608384347,1264,1264
1608385640,1261,1261
1608388478,1260,1260
1608391536,1261,1261
1608395682,1262,1262
1608399282,1261,1261
1608402873,1261,1261
1608405940,1259,1259
1608407154,1258,1258
1608410087,1283,1283
1608411767,1301,1301
1608413147,1316,1316
1608414584,1337,1337
1608417274,1382,1382
1608419956,1430,1430
1608420892,1450,1450
1608423485,1498,1498
1608424487,1512,1512
1608425620,1530,1530
1608426938,1553,1553
1608428195,1568,1568
1608431677,1648,1648
1608433431,1674,1674
1608434747,1705,1705
1608436283,1710,1710
1608441164,1709,1709
1608446083,1711,1711
1608449675,1710,1710
1608456877,1711,1711
1608462264,1711,1711
1608463537,1712,1712
1608465039,1711,1711
1608466476,1711,1711
1608470383,1710,1710
1608471658,1711,1711
1608474345,1710,1710
1608475643,1708,1708
1608479692,1710,1710
1608481184,1709,1709
1608485683,1710,1710
1608486952,1711,1711
1608488741,1712,1712
1608489275,1711,1711
1608490490,1712,1712
1608496480,1713,1713
1608498163,1714,1714
1608501456,1714,1714
1608503136,1714,1714
1608503684,1715,1715
1608508235,1715,1715
1608510878,1713,1713
1608513824,1720,1720
1608514488,1719,1719
1608517529,1720,1720
1608521146,1723,1723
1608523179,1724,1724
1608525297,1723,1723
1608527614,1724,1724
1608529026,1724,1724
1608530494,1723,1723
1608532482,1727,1727
1608535296,1729,1729
1608538496,1728,1728
1608542395,1728,1728
1608544542,1729,1729
1608547863,1730,1730
1608549686,1729,1729
1608555029,1728,1728
1608557681,1727,1727
1608562121,1728,1728
1608566220,1729,1729
1608575145,1730,1730
1608578391,1722,1722
1608579990,1700,1700
1608581320,1691,1691
1608582999,1678,1678
1608584823,1657,1657
1608586483,1616,1616
1608587946,1585,1585
1608589541,1584,1584
1608591042,1554,1554
1608592957,1528,1528
1608593682,1505,1505
1608595798,1470,1470
1608597282,1448,1448
1608598665,1446,1446
1608600341,1430,1430
1608600879,1376,1376
1608604480,1313,1313
1608610325,1314,1314
1608617594,1312,1312
1608618885,1313,1313
1608622484,1314,1314
1608624205,1311,1311
1608626081,1306,1306
1608628560,1305,1305
1608629683,1309,1309
1608631205,1312,1312
1608633285,1313,1313
1608636876,1314,1314
1608638918,1315,1315
1608640706,1314,1314
1608643544,1312,1312
1608644079,1311,1311
1608648895,1310,1310
1608651359,1309,1309
1608652477,1310,1310
1608657949,1311,1311
1608665675,1311,1311
1608667818,1310,1310
1608669282,1309,1309
1608672928,1308,1308
1608675572,1306,1306
1608682063,1306,1306
1608684785,1307,1307
1608690043,1306,1306
1608690886,1305,1305
1608697014,1306,1306
1608698085,1305,1305
1608699235,1305,1305
1608701678,1302,1302
1608703420,1303,1303
1608705283,1302,1302
1608706458,1304,1304
1608708340,1304,1304
1608708881,1303,1303
1608711743,1304,1304
1608712475,1303,1303
1608713685,1304,1304
1608715541,1304,1304
1608716956,1299,1299
1608718484,1297,1297
1608721064,1297,1297
1608723278,1295,1295
1608724600,1297,1297
1608726208,1294,1294
1608726880,1293,1293
1608734635,1292,1292
1608737680,1293,1293
1608748346,1294,1294
1608752082,1292,1292
1608755025,1290,1290
1608756643,1285,1285
1608759287,1284,1284
1608760788,1283,1283
1608762316,1284,1284
1608764372,1283,1283
1608766485,1282,1282
1608768653,1281,1281
1608776146,1280,1280
1608780347,1278,1278
1608781917,1277,1277
1608783690,1276,1276
1608788083,1275,1275
1608791682,1274,1274
1608793592,1274,1274
1608795284,1274,1274
1608798339,1273,1273
1608799823,1272,1272
1608803443,1276,1276
1608804807,1277,1277
1608807236,1275,1275
1608809000,1278,1278
1608810649,1280,1280
1608813281,1278,1278
1608815320,1279,1279
1608816877,1279,1279
1608819030,1281,1281
1608820482,1281,1281
1608823546,1278,1278
1608824952,1275,1275
1608827680,1277,1277
1608829074,1276,1276
1608832561,1278,1278
1608836573,1278,1278
1608838483,1279,1279
1608842083,1277,1277
1608845684,1276,1276
1608849275,1277,1277
1608852883,1278,1278
1608855603,1280,1280
1608860091,1280,1280
1608862909,1279,1279
1608863688,1277,1277
1608867289,1279,1279
1608870900,1278,1278
1608872349,1277,1277
1608877550,1277,1277
1608879599,1283,1283
1608880977,1284,1284
1608883186,1282,1282
1608886247,1281,1281
1608888878,1282,1282
1608892492,1283,1283
1608894892,1283,1283
1608896082,1282,1282
1608899681,1283,1283
1608905884,1282,1282
1608908895,1281,1281
1608913540,1280,1280
1608916587,1279,1279
1608919992,1281,1281
1608921657,1284,1284
1608928486,1286,1286
1608931552,1288,1288
1608933042,1287,1287
1608935682,1290,1290
1608939281,1289,1289
1608946486,1290,1290
1608949365,1289,1289
1608962636,1307,1307
1608963947,1320,1320
1608965441,1328,1328
1608966738,1334,1334
1608968078,1338,1338
1608971688,1341,1341
1608975279,1338,1338
1608982477,1336,1336
1608988923,1334,1334
1608989679,1333,1333
1608996246,1331,1331
1608999583,1330,1330
1609005043,1329,1329
1609009742,1330,1330
1609014344,1328,1328
1609021226,1328,1328
1609022079,1327,1327
1609025148,1326,1326
1609026643,1325,1325
1609029285,1324,1324
1609035945,1330,1330
1609039549,1328,1328
1609042884,1326,1326
1609043684,1324,1324
1609047287,1323,1323
1609050882,1322,1322
1609053936,1323,1323
1609054477,1322,1322
1609058085,1324,1324
1609059244,1324,1324
1609061690,1323,1323
1609065282,1327,1327
1609068881,1326,1326
1609071101,1325,1325
1609072480,1325,1325
1609076085,1323,1323
1609079140,1321,1321
1609080333,1319,1319
1609081878,1320,1320
1609083287,1325,1325
1609084386,1328,1328
1609085986,1330,1330
1609086878,1334,1334
1609088058,1335,1335
1609089439,1337,1337
1609090485,1338,1338
1609091974,1339,1339
1609093543,1341,1341
1609094077,1344,1344
1609096650,1346,1346
1609097679,1345,1345
1609099389,1347,1347
1609101280,1343,1343
1609103433,1339,1339
