DateTime,AddedIPs,RemovedIPs
1608069657,32,22
1608071547,26,0
1608073473,24,25
1608075415,15,31
1608077551,19,45
1608079516,20,23
1608081382,21,33
1608083313,35,22
1608085280,26,26
1608087149,31,22
1608089059,31,24
1608091947,24,22
1608093900,26,21
1608095782,16,32
1608098660,35,23
1608100594,27,35
1608102521,39,37
1608104475,31,25
1608106344,36,28
1608108287,31,24
1608110176,28,29
1608113065,38,30
1608116919,31,60
1608118859,22,29
1608120778,38,34
1608122691,37,30
1608124581,34,30
1608126521,30,38
1608128446,29,19
1608135195,34,76
1608137085,30,21
1608139005,21,22
1608140943,29,24
1608142872,29,22
1608145735,30,29
1608147613,12,25
1608149559,23,25
1608153407,23,58
1608155328,19,25
1608157235,14,31
1608159162,26,12
1608161087,22,30
1608162987,23,15
1608164915,16,20
1608166862,12,25
1608169724,17,57
1608171634,16,0
1608173569,18,60
1608177428,15,33
1608179296,18,25
1608182220,21,39
1608184114,23,0
1608186066,25,43
1608187926,35,25
1608189883,25,36
1608192743,23,35
1608194689,31,65
1608196581,24,31
1608199481,31,32
1608201417,31,0
1608203298,30,0
1608205240,32,33
1608208346,21,58
1608210283,20,37
1608213165,23,75
1608216063,16,38
1608217946,29,0
1608221803,21,38
1608223712,29,32
1608225620,18,24
1608227590,32,33
1608229466,25,32
1608231406,22,0
1608233331,17,31
1608235224,35,19
1608238356,30,32
1608240300,33,21
1608242203,21,18
1608244103,28,17
1608246068,24,26
1608247969,17,19
1608249881,27,24
1608252043,22,17
1608253966,23,11
1608257818,23,18
1608260724,30,33
1608262600,18,0
1608264512,28,21
1608266460,33,16
1608270284,28,25
1608273151,36,50
1608275091,34,33
1608276973,26,35
1608278901,31,0
1608281796,19,67
1608284683,28,28
1608286602,32,27
1608288523,39,40
1608290427,28,30
1608292377,30,44
1608294265,24,0
1608296177,28,23
1608298145,26,17
1608300037,21,24
1608301966,20,0
1608303903,25,16
1608305787,18,22
1608307968,17,0
1608310897,12,53
1608312770,18,17
1608315670,15,29
1608317540,15,25
1608319500,17,19
1608321404,26,13
1608324290,25,35
1608327172,23,52
1608330057,23,15
1608331958,30,22
1608335808,30,41
1608337705,26,33
1608339630,30,21
1608341579,14,26
1608343505,42,0
1608345424,32,22
1608347342,32,26
1608349220,33,21
1608351204,20,26
1608353083,23,36
1608354994,30,0
1608356930,28,30
1608358880,29,0
1608360739,22,31
1608362697,38,39
1608364585,29,27
1608366495,22,32
1608368473,22,22
1608370353,26,0
1608373239,22,63
1608375166,23,40
1608378019,26,28
1608380899,25,56
1608384768,23,51
1608386666,29,19
1608388592,24,18
1608390528,35,25
1608392423,30,16
1608394403,23,12
1608396270,25,0
1608398191,15,13
1608400126,16,14
1608403009,18,18
1608405897,11,9
1608407782,16,16
1608409698,16,25
1608414525,14,47
1608416411,31,0
1608418341,19,28
1608421224,22,29
1608424377,20,57
1608426268,17,33
1608428207,31,13
1608430117,26,41
1608432040,30,28
1608433979,29,36
1608435874,31,38
1608437800,32,22
1608440670,32,23
1608442850,19,32
1608447644,24,72
1608451493,19,62
1608453392,25,29
