DateTime,Entries,UniqueIPs
1608069657,1404,1447
1608071547,1427,1473
1608073473,1424,1472
1608075415,1410,1456
1608077551,1387,1430
1608079516,1387,1427
1608081382,1375,1415
1608083313,1388,1428
1608085280,1388,1428
1608087149,1397,1437
1608089059,1404,1444
1608091947,1406,1446
1608093900,1410,1451
1608095782,1395,1435
1608098660,1406,1447
1608100594,1395,1439
1608102521,1396,1441
1608104475,1401,1447
1608106344,1410,1455
1608108287,1417,1462
1608110176,1417,1461
1608113065,1426,1469
1608116919,1395,1440
1608118859,1388,1433
1608120778,1393,1437
1608122691,1397,1444
1608124581,1401,1448
1608126521,1393,1440
1608128446,1400,1450
1608135195,1358,1408
1608137085,1366,1417
1608139005,1365,1416
1608140943,1371,1421
1608142872,1378,1428
1608145735,1377,1429
1608147613,1366,1416
1608149559,1361,1414
1608153407,1331,1379
1608155328,1325,1373
1608157235,1310,1356
1608159162,1325,1370
1608161087,1320,1362
1608162987,1327,1370
1608164915,1324,1366
1608166862,1314,1353
1608169724,1274,1313
1608171634,1290,1329
1608173569,1251,1287
1608177428,1233,1269
1608179296,1226,1262
1608182220,1210,1244
1608184114,1231,1267
1608186066,1216,1249
1608187926,1226,1259
1608189883,1214,1248
1608192743,1203,1236
1608194689,1168,1202
1608196581,1163,1195
1608199481,1161,1194
1608201417,1192,1225
1608203298,1219,1255
1608205240,1218,1254
1608208346,1183,1217
1608210283,1166,1200
1608213165,1115,1148
1608216063,1092,1126
1608217946,1119,1155
1608221803,1102,1138
1608223712,1103,1135
1608225620,1099,1129
1608227590,1099,1128
1608229466,1092,1121
1608231406,1110,1143
1608233331,1095,1129
1608235224,1111,1145
1608238356,1109,1143
1608240300,1120,1155
1608242203,1122,1158
1608244103,1132,1169
1608246068,1128,1167
1608247969,1126,1165
1608249881,1131,1168
1608252043,1137,1173
1608253966,1149,1185
1608257818,1156,1190
1608260724,1151,1187
1608262600,1169,1205
1608264512,1177,1212
1608266460,1195,1229
1608270284,1198,1232
1608273151,1187,1218
1608275091,1187,1219
1608276973,1181,1210
1608278901,1212,1241
1608281796,1165,1193
1608284683,1167,1193
1608286602,1172,1198
1608288523,1171,1197
1608290427,1168,1195
1608292377,1154,1181
1608294265,1177,1205
1608296177,1181,1210
1608298145,1189,1219
1608300037,1185,1216
1608301966,1201,1236
1608303903,1211,1245
1608305787,1207,1241
1608307968,1224,1258
1608310897,1185,1217
1608312770,1185,1218
1608315670,1175,1204
1608317540,1166,1194
1608319500,1163,1192
1608321404,1174,1205
1608324290,1165,1195
1608327172,1136,1166
1608330057,1145,1174
1608331958,1154,1182
1608335808,1143,1171
1608337705,1136,1164
1608339630,1145,1173
1608341579,1133,1161
1608343505,1173,1203
1608345424,1182,1213
1608347342,1191,1219
1608349220,1203,1231
1608351204,1196,1225
1608353083,1181,1212
1608354994,1210,1242
1608356930,1211,1240
1608358880,1240,1269
1608360739,1230,1260
1608362697,1227,1259
1608364585,1227,1261
1608366495,1218,1251
1608368473,1218,1251
1608370353,1243,1277
1608373239,1203,1236
1608375166,1190,1219
1608378019,1188,1217
1608380899,1160,1186
1608384768,1132,1158
1608386666,1142,1168
1608388592,1149,1174
1608390528,1158,1184
1608392423,1168,1198
1608394403,1179,1209
1608396270,1202,1234
1608398191,1205,1236
1608400126,1207,1238
1608403009,1207,1238
1608405897,1208,1240
1608407782,1208,1240
1608409698,1200,1231
1608414525,1172,1198
1608416411,1203,1229
1608418341,1194,1220
1608421224,1187,1213
1608424377,1153,1176
1608426268,1135,1160
1608428207,1150,1178
1608430117,1139,1163
1608432040,1140,1165
1608433979,1132,1158
1608435874,1123,1151
1608437800,1137,1161
1608440670,1143,1170
1608442850,1129,1157
1608447644,1083,1109
1608451493,1044,1066
1608453392,1043,1062
1608455314,1040,1059
1608457248,1030,1049
1608459158,1051,1070
1608461070,1055,1074
1608463019,1054,1071
1608464900,1057,1079
1608466826,1079,1101
1608469703,1081,1102
1608471634,1085,1105
1608473559,1094,1115
1608475501,1099,1120
1608477377,1095,1116
1608479312,1095,1116
1608481275,1099,1118
1608484127,1110,1128
1608487002,1096,1115
1608488892,1117,1140
1608491781,1115,1137
1608493749,1116,1137
1608495673,1118,1140
1608497563,1136,1159
1608499464,1171,1195
1608501421,1171,1197
1608503323,1174,1204
1608506457,1175,1205
1608508345,1178,1207
1608510278,1202,1231
1608512239,1210,1241
1608514120,1211,1241
1608516021,1193,1224
1608517967,1176,1208
1608519884,1168,1198
1608521808,1164,1192
1608523713,1160,1188
1608526581,1156,1183
1608528505,1170,1197
1608531375,1175,1202
1608534285,1166,1193
1608536215,1185,1212
1608538100,1184,1214
1608540994,1195,1226
1608544136,1174,1210
1608546020,1186,1221
1608548918,1194,1229
1608550835,1201,1236
1608552780,1197,1229
1608554685,1193,1227
1608556612,1201,1236
1608558520,1204,1240
1608561392,1196,1231
1608563561,1184,1217
1608565493,1176,1208
1608567672,1179,1213
1608570537,1150,1183
1608572431,1171,1204
1608574344,1167,1205
1608577233,1163,1200
1608579185,1168,1206
1608582072,1167,1204
1608583940,1165,1203
1608585866,1127,1166
1608587812,1140,1179
1608589719,1131,1170
1608591657,1129,1167
1608593565,1135,1172
1608596461,1136,1173
1608599322,1112,1149
1608601245,1107,1140
1608603378,1116,1149
1608605328,1122,1158
1608607266,1124,1162
1608609147,1140,1177
1608611082,1136,1176
1608613014,1136,1171
1608615889,1130,1168
1608617786,1128,1167
1608619700,1150,1190
1608622578,1150,1189
1608624527,1130,1167
1608626419,1154,1192
1608628359,1163,1201
1608630290,1192,1234
1608632222,1202,1242
1608634115,1206,1244
1608636077,1203,1241
1608637942,1211,1248
1608639876,1219,1256
1608641822,1226,1263
1608643722,1227,1266
1608645661,1228,1265
1608647566,1252,1297
1608650464,1240,1282
1608652348,1249,1292
1608654304,1241,1284
1608656184,1265,1312
1608658115,1266,1312
1608660995,1256,1298
1608666757,1247,1287
1608669644,1253,1294
1608671605,1253,1295
1608673495,1252,1294
1608675397,1259,1302
1608677329,1263,1307
1608679223,1255,1299
1608681136,1254,1299
1608683085,1248,1293
1608684980,1266,1312
1608687169,1261,1308
1608690046,1229,1275
1608691964,1227,1274
1608696759,1196,1241
1608698663,1193,1234
1608700614,1176,1219
1608702532,1180,1221
1608704441,1187,1226
1608706374,1178,1214
1608708270,1201,1237
1608710210,1211,1246
1608712120,1214,1247
1608714050,1213,1246
1608715971,1211,1241
1608717903,1218,1245
1608721709,1200,1227
1608723661,1197,1224
1608725554,1196,1222
1608727482,1188,1215
1608729427,1188,1217
1608731339,1189,1216
1608733228,1178,1207
1608736102,1184,1214
1608738072,1186,1218
1608739942,1188,1219
1608741864,1190,1218
1608743899,1189,1219
1608745986,1191,1220
1608748853,1189,1218
1608750776,1213,1242
1608752663,1238,1269
1608754621,1241,1271
1608756503,1263,1293
1608759397,1272,1302
1608761341,1287,1316
1608763241,1290,1319
1608765147,1290,1315
1608767089,1296,1322
1608769003,1293,1317
1608770929,1291,1313
1608772826,1292,1314
1608774765,1296,1319
1608776719,1299,1323
1608778601,1301,1327
1608780508,1317,1343
1608782448,1340,1367
1608784370,1351,1377
1608786291,1347,1373
1608788186,1356,1382
1608790097,1359,1389
1608792042,1361,1393
1608793933,1383,1413
1608795856,1383,1414
1608797807,1395,1426
1608799715,1381,1412
1608801613,1383,1415
1608803550,1382,1414
1608807383,1369,1401
1608811235,1318,1348
1608813131,1326,1357
1608815113,1341,1372
1608816973,1324,1356
1608818904,1327,1359
1608820840,1320,1352
1608824686,1283,1307
1608826579,1283,1307
1608828744,1293,1317
1608830695,1282,1308
1608832614,1273,1300
1608834500,1298,1325
1608836431,1300,1328
1608838382,1297,1327
1608840268,1287,1315
1608842198,1288,1315
1608844127,1269,1297
1608846041,1274,1305
1608847943,1267,1301
1608849893,1281,1321
1608851803,1287,1326
1608853713,1291,1330
1608855682,1301,1342
1608857552,1310,1351
1608859475,1308,1349
1608861394,1328,1370
1608863304,1333,1376
1608869090,1307,1349
1608870969,1320,1361
1608872928,1331,1373
1608874832,1343,1387
1608876737,1334,1377
1608878681,1325,1365
1608880578,1318,1355
1608882491,1313,1349
1608884480,1296,1334
1608886332,1299,1337
1608889217,1298,1336
1608891137,1305,1341
1608893081,1333,1370
1608894987,1330,1365
1608896925,1355,1393
1608898860,1362,1401
1608900779,1359,1394
1608902660,1343,1377
1608906497,1307,1338
1608908425,1306,1338
1608910369,1326,1358
1608912269,1326,1358
1608914176,1316,1345
1608916134,1298,1330
1608918009,1296,1326
1608919981,1304,1333
1608921905,1303,1332
1608923776,1313,1345
1608925711,1316,1347
1608927669,1320,1351
1608929539,1321,1352
1608931480,1340,1373
1608933419,1345,1373
1608935299,1353,1380
1608938176,1359,1383
1608940112,1351,1375
1608942052,1344,1367
1608943938,1346,1366
1608945861,1347,1368
1608947820,1315,1335
1608949706,1309,1329
1608951634,1332,1358
1608953606,1362,1388
1608955470,1386,1412
1608957383,1343,1368
1608959326,1361,1386
1608961219,1356,1380
1608963142,1318,1344
1608965074,1348,1374
1608966974,1353,1380
1608968894,1327,1359
1608970869,1356,1391
1608972752,1329,1362
1608975625,1316,1349
1608977540,1297,1331
1608979493,1297,1330
1608981384,1321,1355
1608983300,1320,1353
1608985254,1332,1366
1608989069,1273,1307
1608991033,1304,1338
1608992906,1321,1354
1608995781,1323,1356
1608997731,1331,1364
1609000582,1310,1344
1609003518,1319,1356
1609006356,1329,1368
1609010176,1312,1351
1609014274,1261,1297
1609016239,1254,1291
1609018110,1244,1278
1609020026,1238,1276
1609021996,1218,1255
1609023902,1242,1279
1609025853,1229,1266
1609027708,1234,1271
1609030592,1214,1249
1609032765,1203,1238
1609034713,1197,1232
1609036582,1193,1228
1609038813,1194,1230
1609040666,1191,1228
1609042662,1173,1208
1609044525,1175,1211
1609046430,1173,1211
1609048364,1163,1199
1609050277,1159,1193
1609052206,1146,1181
1609054152,1132,1163
1609057010,1132,1162
1609058897,1123,1154
1609061779,1125,1155
1609063724,1130,1163
1609065652,1129,1160
1609067548,1125,1159
1609069468,1119,1154
1609071416,1121,1157
1609073318,1104,1137
1609075236,1121,1154
1609077172,1122,1155
1609079064,1109,1142
1609081943,1095,1128
1609083899,1085,1117
1609085818,1091,1125
1609087699,1093,1127
1609089642,1114,1151
1609091589,1107,1144
1609094455,1106,1142
1609096369,1128,1166
1609098508,1128,1168
1609100438,1153,1193
1609102359,1160,1198
1609104325,1178,1213
1609106216,1177,1211
1609108122,1177,1212
1609110983,1158,1193
1609113177,1163,1197
1609115073,1164,1198
1609117961,1177,1204
1609119918,1184,1212
