DateTime,AddedIPs,RemovedIPs
1608069657,61,46
1608071547,48,56
1608073473,45,40
1608075415,34,53
1608077551,35,32
1608079516,50,37
1608081382,41,46
1608083313,57,39
1608085280,50,63
1608087149,56,50
1608089059,57,56
1608091947,50,56
1608093900,48,50
1608095782,39,42
1608098660,65,48
1608100594,43,67
1608102521,57,45
1608104475,53,55
1608106344,52,53
1608108287,47,52
1608110176,46,46
1608113065,53,42
1608116919,58,59
1608118859,52,57
1608120778,63,51
1608122691,60,62
1608124581,57,56
1608126521,59,58
1608128446,62,63
1608135195,61,65
1608137085,54,58
1608139005,55,53
1608140943,60,54
1608142872,50,58
1608145735,43,50
1608147613,40,48
1608149559,45,35
1608153407,36,49
1608155328,34,36
1608157235,28,32
1608159162,44,28
1608161087,35,40
1608162987,40,39
1608164915,33,35
1608166862,24,38
1608169724,36,19
1608171634,29,36
1608173569,32,31
1608177428,38,32
1608179296,29,36
1608182220,39,32
1608184114,47,40
1608186066,44,47
1608187926,48,38
1608189883,39,48
1608192743,48,44
1608194689,50,50
1608196581,42,52
1608199481,45,43
1608201417,53,45
1608203298,53,54
1608205240,49,50
1608208346,39,52
1608210283,24,40
1608213165,42,23
1608216063,32,40
1608217946,44,29
1608221803,39,47
1608223712,44,37
1608225620,39,47
1608227590,43,39
1608229466,42,42
1608231406,38,42
1608233331,30,37
1608235224,45,30
1608238356,46,48
1608240300,48,42
1608242203,37,51
1608244103,38,37
1608246068,51,36
1608247969,34,47
1608249881,44,34
1608252043,44,50
1608253966,39,34
1608257818,43,40
1608260724,47,46
1608262600,36,50
1608264512,48,35
1608266460,56,46
1608270284,47,51
1608273151,49,59
1608275091,54,47
1608276973,43,51
1608278901,45,46
1608281796,33,45
1608284683,45,36
1608286602,49,42
1608288523,52,49
1608290427,47,54
1608292377,43,45
1608294265,45,43
1608296177,40,46
1608298145,42,41
1608300037,31,40
1608301966,38,33
1608303903,48,36
1608305787,32,45
1608307968,28,36
1608310897,25,29
1608312770,29,24
1608315670,27,31
1608317540,23,24
1608319500,34,23
1608321404,35,34
1608324290,48,38
1608327172,35,44
1608330057,36,34
1608331958,50,41
1608335808,46,42
1608337705,51,49
1608339630,46,50
1608341579,34,48
1608343505,59,34
1608345424,61,58
1608347342,48,56
1608349220,55,54
1608351204,42,50
1608353083,37,41
1608354994,54,37
1608356930,42,53
1608358880,40,50
1608360739,36,30
1608362697,56,48
1608364585,47,54
1608366495,38,46
1608368473,40,37
1608370353,41,41
1608373239,40,45
1608375166,40,40
1608378019,52,39
1608380899,36,51
1608384768,47,38
1608386666,46,45
1608388592,43,45
1608390528,52,43
1608392423,40,51
1608394403,40,45
1608396270,34,38
1608398191,30,34
1608400126,37,28
1608403009,35,33
1608405897,21,35
1608407782,29,24
1608409698,23,31
1608414525,26,24
1608416411,43,24
1608418341,27,42
1608421224,39,27
1608424377,31,34
1608426268,31,32
1608428207,51,37
1608430117,44,49
1608432040,50,44
1608433979,45,47
1608435874,53,45
1608437800,49,54
1608440670,47,46
1608442850,38,48
1608447644,49,45
1608451493,33,47
1608453392,42,33
1608455314,38,41
1608457248,40,35
1608459158,38,40
1608461070,40,37
1608463019,36,42
1608464900,48,35
1608466826,34,47
1608469703,50,37
1608471634,54,51
1608473559,56,57
1608475501,56,54
1608477377,47,56
1608479312,35,45
1608481275,37,35
1608484127,47,38
1608487002,31,49
1608488892,35,32
1608491781,24,36
1608493749,28,22
1608495673,38,30
1608497563,51,34
1608499464,54,50
1608501421,34,55
1608503323,46,36
1608506457,38,43
1608508345,35,38
1608510278,39,34
1608512239,40,42
1608514120,37,41
1608516021,34,34
1608517967,31,34
1608519884,29,34
1608521808,35,26
1608523713,41,35
1608526581,57,44
1608528505,63,58
1608531375,48,63
1608534285,33,39
1608536215,39,29
1608538100,48,48
1608540994,47,51
1608544136,37,47
1608546020,50,35
1608548918,50,52
1608550835,53,50
1608552780,45,53
1608554685,54,46
1608556612,59,51
1608558520,62,60
1608561392,48,59
1608563561,41,46
1608565493,33,48
1608567672,48,33
1608570537,50,45
1608572431,39,50
1608574344,36,42
1608577233,33,35
1608579185,34,35
1608582072,31,34
1608583940,33,31
1608585866,29,33
1608587812,26,26
1608589719,28,25
1608591657,34,27
1608593565,43,36
1608596461,37,43
1608599322,39,38
1608601245,36,37
1608603378,43,34
1608605328,39,45
1608607266,47,38
1608609147,54,50
1608611082,51,50
1608613014,52,50
1608615889,57,57
1608617786,42,58
1608619700,36,38
1608622578,39,39
1608624527,48,39
1608626419,56,47
1608628359,55,57
1608630290,50,55
1608632222,56,50
1608634115,53,53
1608636077,48,54
1608637942,49,49
1608639876,53,48
1608641822,59,53
1608643722,60,58
1608645661,58,62
1608647566,54,59
1608650464,46,47
1608652348,48,51
1608654304,42,46
1608656184,51,45
1608658115,56,53
1608660995,49,54
1608666757,38,43
1608669644,36,37
1608671605,30,35
1608673495,31,33
1608675397,39,34
1608677329,45,40
1608679223,33,41
1608681136,37,35
1608683085,37,37
1608684980,37,36
1608687169,37,37
1608690046,33,34
1608691964,34,35
1608696759,39,37
1608698663,40,34
1608700614,33,44
1608702532,49,36
1608704441,51,49
1608706374,37,46
1608708270,42,42
1608710210,48,44
1608712120,54,45
1608714050,51,53
1608715971,49,50
1608717903,62,52
1608721709,56,64
1608723661,49,52
1608725554,40,48
1608727482,34,40
1608729427,55,37
1608731339,53,55
1608733228,45,48
1608736102,53,49
1608738072,53,54
1608739942,41,48
1608741864,42,42
1608743899,50,40
1608745986,40,56
1608748853,38,40
1608750776,39,33
1608752663,44,41
1608754621,50,44
1608756503,53,50
1608759397,47,55
1608761341,44,43
1608763241,47,51
1608765147,40,45
1608767089,37,42
1608769003,30,37
1608770929,30,28
1608772826,39,32
1608774765,30,38
1608776719,38,30
1608778601,38,38
1608780508,34,37
1608782448,38,34
1608784370,52,38
1608786291,41,51
1608788186,45,39
1608790097,61,48
1608792042,55,63
1608793933,53,54
1608795856,44,52
1608797807,64,47
1608799715,47,61
1608801613,54,49
1608803550,47,53
1608807383,38,46
1608811235,32,41
1608813131,56,31
1608815113,60,56
1608816973,42,57
1608818904,52,42
1608820840,43,51
1608824686,44,40
1608826579,44,45
1608828744,56,47
1608830695,33,59
1608832614,31,32
1608834500,37,30
1608836431,35,37
1608838382,42,36
1608840268,29,42
1608842198,48,30
1608844127,32,47
1608846041,54,33
1608847943,48,50
1608849893,53,45
1608851803,45,55
1608853713,39,40
1608855682,54,43
1608857552,46,57
1608859475,45,43
1608861394,52,46
1608863304,53,58
1608869090,46,51
1608870969,62,46
1608872928,52,56
1608874832,54,57
1608876737,48,58
1608878681,42,42
1608880578,36,43
1608882491,47,37
1608884480,40,49
1608886332,52,40
1608889217,56,52
1608891137,57,56
1608893081,44,58
1608894987,49,42
1608896925,39,49
1608898860,45,39
1608900779,38,47
1608902660,44,38
1608906497,32,40
1608908425,37,32
1608910369,41,37
1608912269,40,42
1608914176,38,41
1608916134,29,39
1608918009,35,28
1608919981,37,30
1608921905,34,39
1608923776,43,33
1608925711,38,40
1608927669,42,43
1608929539,53,43
1608931480,53,56
1608933419,45,51
1608935299,51,43
1608938176,53,52
1608940112,40,49
1608942052,41,39
1608943938,44,46
1608945861,52,38
1608947820,46,53
1608949706,50,42
1608951634,47,54
1608953606,52,45
1608955470,40,46
1608957383,49,49
1608959326,33,36
1608961219,53,46
1608963142,42,60
1608965074,45,40
1608966974,56,44
1608968894,47,57
1608970869,49,46
1608972752,42,48
1608975625,41,42
1608977540,41,41
1608979493,36,42
1608981384,45,35
1608983300,39,46
1608985254,48,38
1608989069,39,49
1608991033,40,40
1608992906,52,41
1608995781,45,51
1608997731,43,42
1609000582,44,46
1609003518,42,41
1609006356,45,41
1609010176,43,42
1609014274,44,47
1609016239,39,45
1609018110,45,35
1609020026,48,49
1609021996,32,46
1609023902,46,32
1609025853,46,45
1609027708,39,46
1609030592,49,39
1609032765,43,51
1609034713,32,30
1609036582,46,47
1609038813,48,42
1609040666,40,47
1609042662,34,40
1609044525,51,37
1609046430,55,48
1609048364,43,59
1609050277,41,44
1609052206,37,38
1609054152,36,38
1609057010,42,37
1609058897,39,34
1609061779,52,50
1609063724,51,53
1609065652,36,48
1609067548,42,38
1609069468,39,38
1609071416,38,42
1609073318,32,39
1609075236,40,29
1609077172,33,39
1609079064,30,35
1609081943,36,29
1609083899,28,37
1609085818,41,30
1609087699,32,39
1609089642,39,32
1609091589,37,38
1609094455,42,36
1609096369,35,45
1609098508,48,34
1609100438,42,45
1609102359,53,45
1609104325,59,54
1609106216,46,57
1609108122,50,43
1609110983,36,48
1609113177,40,35
1609115073,44,38
1609117961,46,50
1609119918,42,42
1609121810,37,45
1609123765,47,34
1609126609,42,49
1609129502,49,45
1609131417,41,44
1609133590,50,43
1609135491,42,41
1609137391,45,53
1609139295,43,47
1609141258,46,40
1609143180,44,49
1609145069,52,44
1609147001,51,54
1609148902,57,50
1609150828,47,54
1609152772,51,52
1609154668,41,48
