DateTime,AddedIPs,RemovedIPs
1607336328,73,40
1607339909,76,38
1607343536,98,39
1607347122,80,25
1607350725,120,34
1607354331,167,55
1607357986,141,58
1607361582,136,42
1607365163,136,32
1607368771,119,33
1607372451,134,54
1607375968,124,53
1607379588,106,48
1607383158,119,41
1607390396,234,92
1607401189,610,152
1607404786,213,37
1607408389,216,51
1607412005,231,46
1607415612,230,46
1607419218,277,51
1607422826,184,58
1607426440,166,34
1607430050,112,54
1607433649,75,45
1607437254,77,49
1607440853,130,38
1607444450,110,61
1607448055,80,63
1607451655,109,41
1607455289,68,66
1607458863,87,33
1607462458,90,33
1607466066,77,37
1607469664,74,44
1607473363,92,29
1607476892,83,43
1607480470,85,62
1607484075,76,38
1607487676,83,46
1607491277,82,41
1607494870,71,49
1607498477,76,54
1607502072,56,49
1607505675,52,65
1607509276,46,33
1607512886,42,44
1607516493,342,32
1607520120,529,48
1607523725,104,43
1607527335,173,32
1607530961,681,37
1607534592,665,36
1607538222,656,37
1607541846,373,38
1607545451,202,43
1607549050,112,39
1607552657,96,44
1607556258,102,44
1607559956,110,25
1607563465,105,35
1607567075,122,64
1607570667,109,36
1607574281,136,29
1607577875,120,37
1607581475,142,30
1607585083,117,29
1607588697,110,43
1607592289,95,42
1607595886,119,38
1607599499,122,32
1607603103,119,36
1607606714,80,44
1607610320,120,40
1607613926,128,49
1607617528,66,45
1607621129,79,30
1607624732,132,24
1607628328,97,28
1607631943,124,66
1607635545,108,36
1607639135,121,31
1607642737,81,40
1607646434,97,47
1607649949,118,41
1607653553,117,52
1607657152,90,54
1607660754,107,55
1607664351,108,48
1607667953,109,42
1607671553,82,57
1607675157,87,33
1607678766,115,39
1607682362,95,50
1607685974,95,33
1607689582,62,36
1607693181,109,34
1607696793,112,44
1607700386,81,71
1607703981,114,66
1607707591,110,51
1607711191,107,60
1607714801,101,82
1607718414,90,40
1607722006,119,41
1607725606,89,36
1607729199,107,40
1607732900,77,36
1607736403,92,44
1607740009,125,54
1607743621,101,56
1607747211,95,43
1607750807,95,43
1607754417,159,38
1607758021,92,49
1607761614,89,70
1607765220,110,67
1607768815,111,59
1607772430,131,36
1607776042,81,51
1607779638,77,45
1607783245,90,45
1607786846,123,55
1607790452,93,30
1607794048,95,42
1607797649,79,47
1607801249,89,37
1607804855,81,43
1607808448,82,38
1607812050,68,49
1607815648,75,46
1607819351,89,49
1607822857,69,47
1607826460,84,52
1607830075,73,41
1607833655,97,38
1607837263,78,47
1607840857,80,37
1607844458,65,40
1607848062,98,34
1607851669,74,52
1607855271,91,52
1607858870,93,44
1607862472,103,63
1607866080,80,42
1607869675,62,47
1607873289,64,22
1607876891,154,75
1607880483,130,55
1607884088,110,47
1607887692,160,97
1607891301,115,35
1607894899,86,44
1607898499,128,76
1607902106,107,84
1607905800,90,47
1607909309,98,53
1607912909,97,66
1607916523,82,75
1607920112,85,60
1607923712,90,44
1607927304,80,52
1607930912,92,48
1607934506,80,66
1607938113,101,66
1607941718,75,49
1607945312,91,44
1607948913,95,62
1607952532,94,41
1607956153,92,102
1607959726,42,132
1607963319,61,138
1607966919,23,116
1607970521,39,135
1607974105,42,95
1607977723,35,122
1607981317,43,116
1607984911,70,101
1607988502,45,109
1607992246,43,105
1607995712,44,104
1607999304,61,199
1608002901,34,208
1608006476,43,196
1608010061,31,209
1608013650,31,205
1608017238,28,245
1608020823,28,236
1608024410,33,285
1608028005,40,217
1608031596,44,177
1608035193,31,145
1608038790,24,124
1608042385,32,82
1608045991,29,98
1608049592,42,70
1608053186,42,55
1608056795,33,74
1608060387,51,66
1608063990,29,46
1608067589,44,75
1608071187,50,47
1608074792,37,55
1608078483,39,82
1608081986,44,55
1608085580,46,73
1608089183,49,77
1608092778,35,73
1608096377,39,64
1608099971,44,72
1608103568,42,66
1608107162,32,56
1608110764,26,53
1608114360,38,49
1608117969,51,31
1608121561,51,112
1608125161,41,197
1608128758,43,67
1608132353,33,87
1608135954,37,195
1608139548,70,222
1608143136,68,310
1608146730,39,244
1608150319,31,164
1608153919,35,132
1608157513,39,79
1608161118,43,65
1608164801,22,106
1608168306,32,78
1608171901,73,97
1608175507,27,115
1608179090,44,84
1608182678,22,83
1608186272,38,112
1608189875,32,93
1608193468,30,86
1608197070,30,95
1608200662,30,88
1608204262,37,99
1608207858,53,103
1608211461,65,58
1608215067,97,115
1608218659,112,139
1608222261,92,70
1608225867,51,87
1608229461,54,104
1608233060,40,80
1608236654,57,83
1608240258,61,91
1608243848,41,104
1608247444,46,78
1608251149,43,77
1608254652,40,101
1608258235,52,109
1608261840,32,96
1608265443,22,98
1608269032,41,109
1608272623,38,117
1608276217,30,106
1608279810,34,127
1608283408,25,103
1608287007,24,123
1608290603,32,86
1608294208,53,70
1608297809,40,102
1608301409,31,131
1608304996,27,128
1608308589,51,138
1608312185,51,115
1608315783,52,152
1608319376,55,140
1608322972,60,125
1608326565,65,168
1608330171,58,136
1608333758,66,157
1608337455,85,134
1608340960,48,156
1608344548,80,181
1608348148,46,151
1608351748,47,137
1608355342,44,142
1608358927,32,207
1608362517,42,147
1608366109,43,155
1608369711,34,165
1608373300,50,160
1608376889,45,181
1608380494,115,154
1608384090,37,159
1608387684,42,155
1608391288,26,188
1608394865,40,172
1608398466,34,185
1608402056,45,185
1608405658,31,160
1608409245,52,165
1608412850,35,103
1608416449,32,82
1608420043,39,93
1608423730,48,110
1608427234,47,124
1608430831,93,108
1608434437,40,94
1608438032,45,125
1608441621,35,109
1608445208,33,130
1608448802,34,132
1608452394,35,136
1608455998,30,108
1608459584,39,137
1608463185,43,138
1608466783,33,155
1608470377,34,143
1608473981,87,153
1608477572,42,127
1608481168,35,144
