DateTime,AddedIPs,RemovedIPs
1607346969,69,17
1607350576,111,29
1607354164,156,39
1607357806,136,37
1607361390,120,35
1607364990,116,25
1607368627,96,21
1607372259,123,38
1607375797,114,47
1607379415,93,31
1607382992,98,39
1607386709,112,40
1607390218,104,31
1607401038,563,98
1607404629,172,27
1607408239,194,41
1607411843,207,37
1607415449,197,38
1607419066,230,34
1607422668,153,48
1607426279,140,27
1607429886,98,39
1607433489,53,41
1607437089,44,36
1607440689,105,31
1607444287,97,29
1607447886,70,46
1607451488,102,31
1607455124,67,50
1607458699,77,26
1607462300,76,24
1607465903,67,31
1607469500,65,27
1607473199,82,21
1607476723,74,26
1607480308,56,35
1607483911,66,20
1607487509,72,34
1607491116,70,26
1607494716,50,29
1607498313,63,49
1607501914,49,35
1607505518,44,45
1607509120,41,24
1607512718,36,29
1607516327,257,25
1607519960,532,36
1607523566,80,26
1607527165,157,20
1607530785,581,24
1607534423,665,23
1607538048,549,26
1607541673,425,24
1607545280,216,21
1607548882,106,31
1607552486,92,30
1607556085,98,32
1607559781,104,19
1607563293,101,29
1607566913,99,29
1607570500,100,26
1607574106,118,24
1607577711,104,25
1607581313,125,16
1607584912,112,24
1607588519,99,32
1607592115,89,21
1607595728,118,32
1607599329,113,22
1607602942,112,30
1607606539,70,29
1607610152,112,27
1607613759,103,34
1607617353,62,32
1607620960,78,18
1607624563,121,16
1607628173,98,22
1607631775,117,23
1607635385,94,29
1607638974,110,25
1607642577,77,31
1607646277,86,38
1607649779,113,27
1607653385,101,46
1607656997,79,29
1607660587,94,41
1607664190,91,41
1607667785,88,33
1607671392,76,46
1607674989,76,21
1607678596,104,29
1607682201,81,39
1607685805,90,23
1607689418,62,22
1607693025,100,15
1607696623,102,29
1607700221,73,65
1607703824,108,60
1607707428,106,40
1607711031,103,49
1607714639,93,70
1607718252,90,28
1607721845,116,22
1607725437,82,29
1607729043,94,30
1607732738,81,27
1607736249,83,21
1607739850,97,37
1607743457,88,25
1607747050,85,29
1607750647,83,37
1607754254,133,34
1607757860,82,38
1607761457,82,47
1607765063,81,44
1607768665,90,38
1607772270,118,27
1607775883,72,19
1607779488,66,23
1607783094,83,22
1607786695,111,34
1607790291,90,18
1607793887,84,29
1607797486,68,29
1607801095,80,30
1607804696,68,28
1607808292,74,31
1607811900,58,36
