DateTime,AddedIPs,RemovedIPs
1608997531,11,0
1608997832,11,0
1608998129,11,0
1608998439,11,0
1608998733,11,0
1608999030,14,0
1608999331,8,0
1608999630,8,0
1608999930,11,0
1609000234,11,0
1609000528,13,0
1609000831,16,0
1609001132,9,0
1609001433,9,0
1609001729,11,0
1609002036,12,0
1609002334,11,0
1609002630,12,0
1609002933,10,0
1609003229,13,0
1609003835,21,0
1609004129,12,0
1609004430,12,0
1609004733,8,0
1609005031,10,0
1609005329,11,0
1609005639,11,0
1609005932,9,0
1609006231,12,0
1609006532,12,0
1609006830,11,0
1609007129,12,0
1609007431,13,0
1609007729,14,0
1609008333,26,0
1609008631,11,0
1609008929,10,0
1609009233,15,0
1609009534,10,0
1609009831,21,0
1609010132,8,0
1609010431,11,0
1609010730,9,0
1609011034,12,0
1609011329,9,0
1609011630,11,0
1609012230,21,0
1609012529,12,0
1609012835,9,0
1609013431,18,0
1609013732,14,0
1609014030,15,0
1609014330,10,0
1609014633,8,0
1609014930,10,0
1609015232,9,0
1609015533,12,0
1609015832,12,0
1609016129,12,0
1609016439,7,0
1609016734,8,0
1609017029,7,0
1609017331,12,0
1609017630,7,0
1609017930,12,0
1609018234,8,0
1609018528,12,0
1609018831,13,0
1609019136,17,0
1609019433,10,0
1609019729,13,0
1609020035,12,0
1609020332,8,0
1609020631,10,0
1609020934,10,0
1609021231,8,0
1609021529,8,0
1609021836,10,0
1609022129,6,0
1609022432,11,3
1609022733,13,0
1609023030,9,0
1609023329,14,0
1609023639,13,0
1609024229,22,0
1609024536,12,0
1609024830,5,0
1609025131,11,0
1609025436,14,0
1609025729,18,0
1609026032,5,0
1609026335,11,0
1609026631,16,0
1609026929,13,0
1609027235,13,0
1609027534,7,0
1609027831,8,0
1609028132,12,0
1609028431,13,0
1609028731,7,0
1609029034,12,0
1609029329,13,0
1609029630,9,0
1609029937,12,0
1609030236,7,0
1609030529,6,0
1609030837,7,0
1609031139,9,0
1609031429,14,1
1609031731,9,0
1609032033,7,0
1609032635,30,1
1609033229,21,0
1609033535,9,0
1609033830,11,0
1609034129,13,0
1609034439,8,0
1609035029,30,0
1609035330,8,0
1609035631,13,0
1609035930,11,0
1609036233,17,0
1609036530,11,0
1609036830,13,0
1609037137,9,0
1609037434,14,0
1609037729,10,0
1609038035,9,0
1609038630,22,0
1609038935,12,0
1609039231,11,0
1609039530,11,0
1609039833,11,0
1609040128,10,0
1609040429,15,0
1609040733,15,0
1609041031,12,0
1609041328,10,0
1609041637,7,0
1609041938,7,0
1609042230,11,0
1609042533,10,0
1609042831,7,0
1609043130,12,0
1609043434,10,0
1609043730,10,0
1609044030,11,0
1609044334,8,0
1609044634,8,0
1609044931,9,0
1609045234,12,0
1609045535,10,0
1609045829,9,0
1609046130,11,0
1609046429,7,0
1609046729,12,0
1609047033,13,0
1609047329,10,0
1609047631,11,0
1609047931,8,0
1609048233,11,0
1609048530,11,0
1609048836,17,0
1609049429,23,0
1609049731,10,0
1609050030,11,0
1609050333,10,0
1609050635,8,0
1609050929,11,0
1609051230,11,0
1609051536,19,0
1609051832,12,0
1609052129,13,0
1609052437,8,0
1609053030,21,0
1609053332,7,0
1609053631,8,0
1609053929,12,0
1609054236,9,0
1609054528,9,0
1609054830,7,0
1609055135,8,0
1609055430,9,0
1609055729,15,0
1609056032,10,0
1609056335,8,0
1609056631,10,0
1609056933,4,0
1609057231,12,0
1609057530,7,0
1609057834,8,0
1609058129,12,0
1609058429,11,0
1609058737,13,0
1609059030,10,0
1609059329,10,0
1609059636,16,0
1609059931,9,0
1609060231,10,0
1609060534,10,0
1609060829,8,0
1609061130,9,0
1609061432,7,0
1609061730,9,0
1609062030,7,0
1609062332,10,0
1609062630,7,0
1609062929,14,0
1609063238,10,0
1609063534,10,0
1609063830,15,0
1609064132,9,0
1609064431,7,0
1609064729,15,0
1609065031,10,0
1609065330,14,0
1609065629,12,0
1609065933,11,0
1609066230,15,0
1609066529,16,0
1609066834,9,0
1609067130,10,0
1609067431,8,0
1609067737,8,1
1609068031,14,0
1609068329,18,0
1609068633,11,0
1609068928,14,0
1609069229,9,0
1609069534,8,0
1609069829,10,0
1609070129,9,0
1609070436,6,0
1609071032,18,0
1609071332,10,0
1609071631,11,0
1609071931,8,0
1609072235,12,0
1609072529,11,0
1609072831,7,0
1609073134,9,0
1609073431,15,0
1609073729,11,0
1609074038,9,0
1609074331,9,0
1609074629,13,0
1609074932,7,0
1609075230,14,0
1609075529,11,0
1609075833,6,0
1609076128,9,0
1609076430,9,0
1609076735,4,0
1609077030,11,0
1609077329,10,3
1609077637,11,0
1609078229,25,0
1609078534,15,0
1609078831,11,0
1609079130,10,0
1609079433,9,0
1609079730,7,0
1609080029,10,0
1609080331,13,0
1609080634,11,0
1609080929,13,0
1609081239,8,0
1609081530,6,0
1609081830,10,0
1609082135,11,0
1609082433,11,0
1609082729,10,0
1609083034,8,0
1609083329,10,0
1609083630,13,0
1609084234,14,0
1609084529,8,0
1609084835,9,0
1609085135,11,0
1609085429,13,0
1609085731,10,0
1609086031,14,0
1609086331,15,0
1609086634,8,0
1609086929,9,0
1609087231,17,0
1609087536,10,0
1609087831,9,0
1609088129,9,0
1609088432,9,0
1609088732,15,0
1609089030,5,0
1609089331,9,0
1609089629,18,0
1609089929,10,0
1609090232,11,0
1609090530,13,0
1609090829,14,0
1609091135,9,0
1609091431,8,0
1609091728,9,0
1609092038,13,0
1609092332,12,0
1609092630,9,0
1609092932,16,0
1609093232,14,0
1609093530,3,0
1609093837,11,0
1609094129,13,0
1609094430,8,0
1609094737,10,0
1609095030,13,0
1609095330,7,0
1609095635,10,0
1609095932,6,0
1609096231,10,0
1609096531,19,0
1609096831,10,0
1609097129,13,0
1609097433,14,0
1609097729,8,0
1609098029,9,0
1609098331,8,0
1609098632,6,0
1609098929,13,0
1609099235,11,0
1609099831,26,0
1609100132,12,0
1609100431,11,0
1609100729,10,0
1609101033,10,0
1609101329,11,0
1609101630,10,0
1609101936,12,0
1609102231,7,0
1609102529,10,0
1609102841,8,0
1609103134,11,0
1609103430,13,0
1609103736,11,0
1609104330,26,0
1609104637,10,0
1609104930,12,0
1609105231,8,0
1609105831,15,0
1609106129,12,0
1609106437,15,0
1609106732,12,0
1609107030,10,0
1609107332,14,0
1609107631,8,0
1609107930,7,0
1609108232,10,0
1609108530,5,0
1609108831,10,0
1609109135,8,0
1609109432,10,0
1609109729,15,0
1609110039,8,0
1609110335,18,0
1609110631,16,0
1609110931,10,0
1609111229,14,0
1609111531,9,0
1609111835,18,0
1609112130,14,0
1609112432,10,1
1609113032,20,0
1609113328,13,0
1609113638,18,0
1609113932,9,0
1609114230,18,0
1609114533,11,0
1609114831,10,0
1609115130,13,0
1609115433,11,0
1609115729,15,0
1609116032,15,0
1609116335,16,0
1609116634,11,0
1609116929,7,0
1609117234,10,0
1609117538,11,0
1609117830,11,0
1609118134,11,0
1609118430,10,0
1609118730,11,0
1609119032,7,0
1609119330,16,0
1609119631,10,0
1609120236,26,0
1609120529,14,0
1609120836,11,0
1609121132,11,0
1609121430,12,0
1609121731,6,0
1609122030,15,0
1609122635,29,0
1609122930,10,0
1609123230,13,0
1609123535,12,0
1609123834,12,0
1609124129,8,0
1609124434,10,0
1609124731,13,0
1609125032,12,0
1609125332,15,0
1609125630,13,0
1609125931,9,0
1609126233,10,0
1609126529,4,0
1609126830,13,0
1609127134,14,0
1609127431,13,0
1609127729,11,0
1609128035,13,0
1609128331,8,0
1609128631,10,0
1609128933,13,0
1609129231,12,0
1609129833,24,0
1609130130,11,0
1609130431,10,0
1609130736,6,0
1609131033,11,0
