DateTime,AddedIPs,RemovedIPs
1602303343,0,256
1602340226,512,1280
1602349228,256,0
1602356430,256,0
1602376228,0,256
1602426376,768,768
1602437772,256,0
1602442829,0,256
1602459003,0,256
1602512138,0,1280
1602513338,512,0
1602518427,256,0
1602522029,0,256
1602534631,256,0
1602538791,256,0
1602599750,1280,768
1602610645,256,0
1602621582,256,0
1602623731,0,256
1602634537,0,256
1602640837,256,0
1602682469,1024,0
1602693498,0,256
1602697503,0,256
1602702031,256,0
1602708331,0,256
1602716436,256,0
1602723636,0,256
1602729112,0,256
1602768914,0,1280
1602772477,1024,0
1602781226,256,0
1602786630,256,0
1602788429,0,256
1602793830,512,0
1602797832,0,256
1602848371,512,0
1602849629,256,0
1602859057,0,1024
1602864031,256,0
1602867633,256,0
1602870302,0,256
1602871239,256,0
1602880238,256,256
1602905447,0,256
1602933348,0,512
1602941448,0,256
1602942234,512,0
1602948776,256,256
1602950432,0,256
1602958533,0,256
1602959434,256,0
1602964836,0,256
1602965735,0,256
1603028702,0,768
1603037741,0,256
1603042871,1280,0
1603047628,0,256
1603049428,256,0
1603051230,256,0
1603078770,0,256
1603111377,512,0
1603116026,256,0
1603129399,0,1024
1603139435,0,256
1603197940,0,1024
1603201503,0,256
1603204814,1280,0
1603224932,0,256
1603226101,256,0
1603291353,0,1024
1603292438,0,256
1603294766,768,0
1603300526,256,0
1603308629,256,0
1603309611,256,0
1603374195,768,0
1603380629,0,768
1603386032,0,256
1603395036,0,512
1603457180,768,0
1603460703,0,256
1603477840,256,0
1603484141,0,256
1603495847,256,0
1603543503,0,1024
1603550319,512,0
1603563335,0,256
1603571438,256,0
1603578641,0,256
1603583299,256,0
1603629571,1280,0
1603636230,256,512
1603652436,256,0
1603662470,256,0
1603666155,256,0
1603672246,512,0
1603715805,0,1536
1603717247,0,256
1603736147,0,256
1603738848,0,256
1603748732,1536,256
1603755793,0,256
1603758634,0,768
1603798455,1024,0
1603805731,256,0
1603816286,256,0
1603828830,256,0
1603835132,0,768
1603837994,0,256
1603843243,0,256
1603846835,256,0
1603883736,0,768
1603888490,0,256
1603892467,1024,0
1603897227,0,256
1603917389,0,256
1603933239,0,256
1603978239,0,768
1603983640,0,256
1603986108,1536,0
1604010632,0,256
1604014233,0,256
1604065232,512,0
1604070026,256,0
1604072622,0,512
1604079028,0,256
1604080831,256,0
1604093434,256,0
1604097034,256,0
1604101970,0,256
1604148143,1280,0
1604151823,0,1024
1604152828,256,0
1604187037,0,256
1604233840,0,1024
1604239239,0,256
1604243739,0,512
1604250040,0,256
1604252719,1024,0
1604262629,256,0
1604272531,0,256
1604321016,1024,0
1604329226,256,0
1604332827,256,0
1604339221,0,768
1604357348,256,0
1604407416,0,1024
1604410240,0,256
1604414808,1280,0
1604415625,0,256
1604417426,256,0
1604421027,0,256
1604436483,0,256
1604445334,0,256
1604447625,256,0
1604449837,256,0
1604500226,0,512
1604502926,0,256
1604527237,0,256
1604583780,768,512
1604587594,256,0
1604598403,256,0
1604615438,256,0
1604637045,0,256
1604670623,256,256
1604672130,0,512
1604677803,256,0
1604680234,256,0
1604691041,256,0
1604755851,0,1024
1604757096,512,0
1604777447,0,256
1604842258,0,512
1604844957,0,512
1604861344,1024,0
1604863836,0,256
1604871039,256,0
1604947874,0,512
1604962803,0,256
1604966144,256,0
1604968246,512,0
1605019103,0,256
1605022894,768,0
1605034832,256,0
1605052492,0,256
1605053740,0,256
1605069041,0,256
1605102000,768,0
1605109281,0,768
1605112725,0,256
1605137440,256,0
1605186944,0,256
1605188703,0,256
1605191906,512,0
1605198631,256,0
1605214836,256,0
1605241866,0,256
1605276942,0,768
1605278300,1280,0
1605286830,256,0
1605319242,256,0
1605361304,256,0
1605364752,0,256
1605365128,0,256
1605371431,0,256
1605373232,0,256
1605393038,0,256
1605396639,0,256
1605447788,0,768
1605451063,1024,256
1605459631,256,0
1605461430,256,0
1605483039,512,0
1605537031,0,512
1605547833,0,256
1605569443,0,256
1605574333,256,0
1605616250,0,256
1605619846,0,256
1605624148,1024,0
1605657336,0,256
1605707192,512,0
1605710703,0,512
1605711631,256,0
1605723335,0,256
1605743143,0,256
1605793537,0,768
1605797022,256,0
1605811658,256,0
1605815495,0,256
1605819095,256,0
1605880049,512,0
1605883439,0,256
1605886229,0,256
1605894599,256,0
1605897033,0,256
1605898139,0,256
1605904236,0,256
1605966363,1536,256
1605980966,512,0
1605981634,0,256
1605988162,256,0
1605994238,256,0
1606005046,1536,0
1606051845,0,1024
1606058145,0,256
1606059798,512,0
1606067268,0,512
1606072533,0,256
1606082067,256,0
1606087841,0,256
1606089604,0,256
1606091444,512,512
1606142703,1280,0
1606145431,0,1024
1606149031,256,256
1606157421,256,0
1606170639,256,0
1606174240,0,256
1606176963,0,512
1606195844,0,256
1606221903,1280,0
1606224629,256,0
1606229104,0,1024
1606242637,0,256
1606307449,0,1024
1606309249,0,256
1606311047,0,256
1606312441,1024,0
1606322703,0,256
1606324536,256,0
1606326952,256,0
1606347045,0,256
