DateTime,AddedIPs,RemovedIPs
1603122998,500,408
1603124170,327,305
1603148890,27,30
1603162807,27,64
1603166647,27,64
1603170489,126,60
1603191618,1554,1189
1603213955,498,440
1603215610,392,233
1603237687,21,29
1603247529,29,0
1603251370,22,23
1603252742,121,59
1603259052,12,41
1603278021,1804,1656
1603304908,500,448
1603306333,318,240
1603322649,11,0
1603332249,18,31
1603336090,17,0
1603339142,137,54
1603343765,14,13
1603364421,1868,1277
1603396592,499,495
1603398036,344,249
1603411211,23,32
1603420806,26,63
1603424647,28,55
1603425542,132,48
1603428499,15,0
1603450818,1564,4791
1603486844,500,493
1603489447,330,226
1603496167,24,58
1603506006,27,0
1603509848,25,0
1603511942,116,44
1603517525,11,22
1603537217,1406,1689
1603577766,500,449
1603580500,339,328
1603580900,23,0
1603594325,30,59
1603598165,24,58
1603598343,95,49
1603602012,10,0
1603623618,1086,1006
1603669239,500,306
1603669451,23,22
1603671610,286,392
1603679050,30,0
1603682886,25,30
1603684742,95,49
1603690568,6,20
1603710018,1213,1184
1603753928,22,23
1603759930,500,350
1603762358,251,342
1603767617,28,58
1603771451,23,34
1603775288,101,72
1603796417,1559,1209
1603842247,24,24
1603851634,500,498
1603852085,27,0
1603853527,264,227
1603855925,32,0
1603857542,98,72
1603863607,13,0
1603882820,1681,1326
1603926731,25,24
1603940651,31,66
1603942833,498,996
1603944485,20,51
1603944729,350,719
1603948326,6,14
1603969218,1661,1206
1604015049,31,46
1604025126,35,0
1604028966,24,26
1604030342,99,75
1604034016,499,499
1604035953,222,282
1604036644,10,17
1604055617,1660,1058
1604099525,23,0
1604109848,23,33
1604113687,17,0
1604116742,88,63
1604121366,15,4
1604124496,500,498
1604127161,250,283
1604142019,1485,836
1604187847,19,20
1604198166,23,45
1604202006,23,44
1604203142,91,53
1604209684,3,22
1604215690,500,500
1604218355,332,292
1604228419,1257,1041
1604272325,23,22
1604282648,26,0
1604286487,23,19
1604289542,104,68
1604294164,5,21
1604306690,500,498
1604309287,308,221
1604314817,1365,1227
1604360885,23,42
1604370967,26,22
1604376725,118,73
1604380565,20,0
1604397611,500,497
1604400249,264,220
1604401220,1492,1212
1604445366,26,0
1604457369,28,50
1604461211,42,31
1604462342,101,57
1604468884,10,66
1604487620,1707,1228
1604489051,498,496
1604491216,346,322
1604533686,21,49
1604541849,27,0
1604545686,32,0
1604548742,108,63
1604553366,21,19
1604574020,1558,1301
1604580009,500,500
1604582408,215,235
1604618166,25,0
1604630167,26,58
1604634006,32,48
1604635143,113,77
1604641742,13,11
1604660420,1657,1238
1604670969,499,499
1604674115,229,388
1604706486,32,50
1604714652,30,0
1604722327,134,70
1604726164,6,15
1604746820,1460,957
1604762445,499,500
1604764570,245,195
1604790967,24,17
1604802964,35,54
1604806807,26,28
1604807942,77,46
1604814485,7,9
1604833220,1273,969
1604853150,499,499
1604855799,415,231
1604879284,28,25
1604887686,31,0
1604891525,32,0
1604894342,120,52
1604899204,6,7
1604916017,1294,1263
1604943611,500,498
1604946258,286,253
1604963765,32,21
1604976007,36,52
1604979847,36,46
1604980742,123,54
1604987524,8,15
1605002418,1572,1381
1605035575,500,499
1605037210,350,245
1605050405,34,0
1605062406,34,27
1605066248,35,27
1605067142,102,61
1605072008,8,0
1605088819,1602,1307
1605126520,499,497
1605129397,253,303
1605138966,34,45
1605146885,30,28
1605150726,25,20
1605153542,118,65
1605160327,4,27
1605175220,2439,1505
1605217686,500,993
1605219876,283,690
1605223448,28,0
1605235206,33,22
1605239048,31,26
1605239942,120,73
1605244805,4,0
1605261619,1546,1600
1605309176,499,496
1605311557,271,279
1605312018,28,32
1605319927,24,0
1605323765,27,0
1605326342,84,73
1605333365,10,28
1605348017,1350,1113
1605396727,26,0
1605400810,499,495
1605402756,224,290
1605408248,24,29
1605412084,24,21
1605412742,77,102
1605418085,1,3
1605430819,1076,1225
1605481446,29,16
1605491049,500,498
1605492971,353,272
1605494647,27,38
1605498486,22,47
1605499142,102,105
1605504485,4,0
1605513619,1212,1219
1605570247,38,38
1605579365,22,0
1605582753,500,500
1605583446,26,0
1605584408,218,289
1605585542,97,94
1605589450,13,16
1605596421,1576,1490
1605654966,29,0
1605667924,26,58
1605671765,27,48
1605671942,96,96
1605673929,500,499
1605675370,300,315
1605678006,9,10
1605682820,2265,1528
1605743532,16,49
1605752405,26,0
1605756249,18,0
1605758342,95,78
1605762724,6,10
1605764913,500,499
1605766357,264,322
1605769221,1873,1415
1605828247,22,0
1605840965,20,58
1605844810,23,48
1605851285,101,100
1605855633,500,499
1605858249,1938,1678
1605916822,25,35
1605925451,23,18
1605929285,20,17
1605931142,94,58
1605936005,6,22
1605947290,1953,1535
1605949237,277,309
1606001286,21,0
1606013765,18,28
1606017615,17,28
1606021219,1186,1042
1606024326,3,13
1606037331,500,497
1606039930,399,333
1606089615,29,43
1606098486,23,27
1606102324,21,24
1606103942,63,71
1606107617,993,1244
1606108804,1,0
1606128485,500,499
1606130912,384,307
1606174084,24,17
1606187117,28,28
1606190886,19,25
1606194018,1361,1441
1606196977,8,18
1606220652,500,499
1606222330,379,315
1606262420,23,20
1606271767,28,25
1606275606,15,25
1606276742,84,70
1606280419,1703,1193
1606281603,4,0
1606311849,500,498
1606314294,208,276
1606347130,28,24
1606356246,28,0
1606363937,109,87
1606370167,1428,1257
1606404738,499,499
1606405703,212,226
1606435448,30,22
1606444566,21,55
1606448405,27,28
1606449620,2708,1339
1606454647,11,0
1606495933,500,498
1606496482,271,237
1606519931,26,21
1606529047,30,0
1606536728,1956,1111
1606542965,5,21
1606586888,500,496
1606587373,389,229
1606608248,35,31
1606617366,24,59
1606621208,32,27
1606622419,1751,1054
1606627448,3,0
1606678401,700,697
1606692967,25,23
1606702185,18,23
1606705926,24,20
1606708742,162,63
1606716006,1086,1246
1606769290,707,728
1606777685,24,0
1606790404,23,23
1606791620,1557,1222
1606794252,31,22
1606795142,92,93
1606800724,1,0
1606848488,765,830
1606866245,22,47
1606875364,27,29
1606878020,1534,1350
1606879206,32,27
1606882355,784,70
1606885446,1,8
1606950964,30,0
1606963690,26,26
1606967525,1454,3293
1606967942,81,54
1606973291,753,786
