DateTime,AddedIPs,RemovedIPs
1608691324,2,0
1608692524,6,0
1608693724,3,0
1608694924,2,0
1608695523,2,0
1608696124,1,0
1608697324,2,0
1608698524,4,0
1608699723,4,0
1608700924,7,1
1608702123,2,0
1608703324,1,0
1608703924,8,0
1608704524,1,0
1608705124,10,0
1608705724,14,0
1608706924,4,0
1608707524,2,0
1608708124,2,0
1608708724,3,0
1608709324,2,0
1608709925,3,0
1608710524,2,0
1608711124,1,0
1608712324,2,0
1608712924,2,1
1608713524,2,0
1608714123,1,0
1608715324,1,0
1608716523,1,1
1608717723,9,0
1608718324,3,0
1608718924,5,0
1608719525,21,0
1608720124,3,0
1608721324,8,0
1608722524,6,0
1608723124,4,0
1608723723,6,0
1608724323,5,0
1608724924,4,0
1608725523,1,0
1608726724,1,0
1608727323,5,0
1608727924,3,0
1608728523,6,0
1608729723,1,0
1608730924,10,0
1608732124,2,0
1608733323,1,0
1608733925,3,0
1608735124,16,0
1608735724,4,0
1608736323,1,0
1608736924,1,0
1608738123,44,0
1608739324,17,0
1608740523,14,0
1608741723,4,0
1608742324,4,1
1608742923,14,0
1608744123,6,0
1608744724,9,0
1608745323,10,0
1608746523,7,0
1608747123,10,0
1608747724,3,0
1608748324,2,1
1608748923,5,0
1608750123,7,0
1608752524,29,0
1608753123,6,0
1608753723,4,0
1608754323,7,0
1608754923,1,0
1608755524,1,0
1608756123,2,0
1608756723,4,0
1608757923,2,0
1608758524,8,0
1608759723,8,0
1608760923,7,0
1608762123,9,0
1608763324,9,1
1608763923,10,0
1608764524,3,0
1608765723,6,0
1608766324,16,0
1608766924,1,0
1608767523,6,0
1608768124,6,0
1608769323,1,0
1608769924,8,0
1608770524,5,0
1608771724,14,0
1608772323,5,0
1608772924,4,0
1608773524,3,0
1608774124,6,0
1608775323,6,0
1608776524,4,0
1608777724,6,0
1608778324,1,0
1608778924,4,0
1608779523,2,0
1608780124,4,0
1608780724,1,1
1608781323,1,0
1608781923,2,0
1608782524,9,0
1608783723,5,0
1608784324,3,0
1608784923,3,0
1608786123,1,1
1608787323,11,0
1608788524,4,0
1608789723,19,0
1608790924,3,2
1608792124,2,0
1608792723,4,0
1608793323,2,1
1608794524,5,0
1608795123,1,0
1608795724,1,0
1608796924,3,0
1608797523,2,0
1608798123,2,1
1608799323,3,1
1608800524,5,0
1608801123,2,0
1608801723,1,0
1608802324,1,0
1608802923,5,0
1608804124,32,0
1608804723,1,0
1608805924,3,1
1608806523,1,0
1608807724,6,0
1608808923,7,0
1608810124,1,2
1608811324,4,1
1608812523,5,0
1608813724,2,0
1608814923,3,0
1608815524,1,0
1608816123,2,0
1608816724,3,0
1608818523,1,0
1608819723,1,0
1608820924,0,4
1608822124,2,0
1608822723,2,0
1608823324,0,1
1608823924,1,3
1608825724,1,0
1608826923,1,0
1608828124,3,0
1608828723,1,0
1608829924,5,0
1608830524,3,0
1608831124,6,0
1608831724,4,2
1608832923,1,1
1608833524,3,0
1608834124,3,0
1608834724,4,1
1608835323,2,0
1608835924,1,0
1608837724,2,0
1608838924,1,1
1608840123,2,0
1608841324,2,0
1608842523,3,0
1608843724,3,0
1608844923,1,0
1608846124,4,0
1608848523,3,0
1608849723,2,2
1608850924,6,0
1608851523,6,0
1608852123,6,1
1608852724,4,0
1608854524,5,0
1608855724,5,1
1608856923,1,0
1608857524,3,0
1608858123,2,0
1608859324,5,1
1608860524,4,0
1608861723,1,1
1608862924,4,0
1608863524,1,0
1608864124,4,0
1608865324,2,0
1608865924,4,0
1608866524,2,0
1608867724,2,0
1608868324,1,0
1608869523,2,0
1608870123,1,0
1608870724,2,0
1608871323,1,0
1608873724,6,0
1608874924,1,0
1608875523,3,0
1608876124,2,0
1608877324,5,0
1608877924,6,0
1608878524,1,0
1608879123,1,0
1608879726,3,0
1608882123,6,1
1608883323,1,0
1608883925,1,0
1608884523,3,0
1608885724,3,0
1608886324,4,0
1608886923,1,0
1608887524,2,0
1608888124,1,0
1608888725,2,0
1608889324,1,0
1608889924,1,0
1608890524,2,0
1608891124,4,0
1608891723,2,0
1608892924,2,0
1608894124,5,0
1608895324,6,0
1608896524,5,0
1608897124,2,1
1608897724,3,0
1608898324,4,0
1608898923,5,0
1608900123,3,0
1608901323,1,0
1608902524,3,0
1608903724,6,1
1608904923,1,0
1608906123,1,0
1608907324,6,0
1608907924,2,0
1608908523,4,0
1608909724,2,0
1608910924,1,1
1608911524,10,0
1608912724,2,0
1608913324,3,0
1608913924,4,0
1608914524,3,0
1608915723,6,0
1608916924,4,0
1608917524,1,0
1608918123,4,0
1608919324,3,0
1608919923,1,0
1608920523,2,0
1608921724,1,0
1608922324,2,1
1608922923,4,0
1608924124,5,0
1608924724,4,0
1608925324,6,1
1608925924,1,0
1608926523,3,0
1608927124,1,0
1608927724,8,0
1608928924,12,0
1608929523,3,0
1608930124,1,0
1608930724,2,0
1608932524,3,0
1608933724,2,0
1608934324,1,0
1608934923,1,0
1608936124,1,0
1608936724,3,0
1608937323,4,0
1608939124,2,0
1608939724,3,0
1608940923,3,0
1608941523,3,0
1608942124,1,0
1608942724,4,0
1608944524,4,0
1608945723,0,1
1608946923,3,0
1608948123,4,0
1608949323,2,0
1608950523,4,0
1608951724,2,0
1608952923,10,0
1608954124,5,0
1608954724,2,0
1608955323,2,0
1608956524,2,0
1608957723,1,1
1608958923,3,0
1608959524,8,0
1608961323,3,0
1608962523,6,1
1608963723,1,0
1608964923,3,0
1608966124,4,0
1608967324,3,0
1608968523,2,0
1608969724,5,0
1608970323,1,0
1608970923,2,0
1608972123,2,0
1608973323,7,0
1608974523,7,0
1608975724,6,1
1608976323,2,0
1608976923,1,0
1608978123,3,0
1608979924,1,0
1608980524,8,0
1608981123,2,0
1608981724,2,0
1608982324,1,0
1608982923,2,0
1608983523,1,0
1608984123,2,0
1608984724,2,0
1608986523,1,0
1608988323,3,0
1608988923,2,0
1608990124,9,0
1608990723,3,0
1608991324,2,0
1608991923,1,0
1608993724,5,0
1608994323,3,0
1608994924,3,0
1608995523,1,0
1608996124,2,0
1608996724,5,0
1608997324,5,0
1608997924,9,0
1608998523,2,0
1608999724,2,0
1609000324,10,0
1609000924,2,0
1609002123,7,0
1609003323,19,0
1609004524,7,0
1609005124,2,0
1609005724,8,0
1609006923,4,0
1609007525,1,0
1609008124,6,0
1609008724,1,0
1609009323,7,0
1609010524,13,0
1609011723,4,0
1609012923,7,0
1609013524,5,0
1609014123,3,0
1609015323,6,1
1609016524,6,0
1609017723,16,0
1609018323,9,0
1609018924,5,1
1609020124,6,0
1609021323,6,0
1609021924,5,0
1609022524,5,0
1609023724,12,1
1609024324,5,0
1609024924,6,0
1609026123,14,0
1609027324,2,0
1609027924,3,1
1609029723,6,0
1609030923,8,0
1609032123,5,0
1609033324,4,0
1609034523,2,0
1609035724,1,0
1609036924,2,0
1609038123,4,0
1609039324,6,0
1609039924,1,0
1609040523,4,0
1609041124,4,0
1609041724,1,0
1609042924,3,0
1609044124,3,0
1609046523,4,0
1609047724,4,0
1609048924,3,0
1609049523,4,0
1609050124,6,0
1609051323,5,0
1609051924,2,0
1609052524,4,0
1609054324,1,0
1609054924,1,0
1609056123,2,0
1609057324,2,0
1609058524,1,0
1609059724,1,0
1609060923,2,0
1609062124,1,0
1609063323,6,0
1609063923,1,0
1609064524,4,0
1609065723,8,0
1609066923,5,0
1609067524,6,0
1609068124,4,0
1609068724,2,0
1609069324,2,0
1609069924,0,1
1609070523,12,1
1609071723,5,0
1609072324,1,0
1609072923,4,0
1609073524,1,0
1609074123,3,0
1609075323,6,0
1609076524,9,0
1609077724,5,0
1609078324,4,0
1609078923,1,0
1609080123,2,0
1609082524,8,0
1609083723,5,0
1609084923,3,0
1609086124,4,0
1609086724,1,0
1609087323,8,0
1609088524,2,0
1609089723,5,0
1609090923,5,0
1609092124,6,0
1609092724,2,0
1609093324,2,0
1609094524,10,0
1609095723,3,0
1609096924,4,0
1609097524,3,0
1609098123,2,0
1609099323,5,0
1609100523,5,0
1609101723,11,0
1609102924,3,0
1609104123,3,0
1609104724,1,0
1609105323,4,0
1609105923,3,0
1609107723,1,0
1609108924,1,0
1609109523,2,0
1609110124,3,0
1609110634,1,0
1609111323,2,0
1609111924,5,0
1609113724,3,0
1609114923,2,0
1609116124,4,0
1609116723,4,0
1609117323,4,0
1609118523,16,0
1609119723,5,0
1609120924,3,0
1609122124,2,0
1609123324,1,0
1609124524,1,0
1609125723,3,0
1609126324,1,0
1609127524,3,0
1609128124,2,0
1609129324,4,0
1609130524,3,0
1609131723,2,0
1609132923,3,0
1609134124,5,0
