DateTime,AddedIPs,RemovedIPs
1608193227,83,91
1608195125,60,68
1608197050,56,37
1608198986,76,90
1608200889,74,90
1608202836,89,3953
1608204725,95,79
1608206647,1821,0
1608208830,144,109
1608210724,93,67
1608212647,109,49
1608214588,114,79
1608216485,108,78
1608218405,87,73
1608220348,94,86
1608222248,87,62
1608224166,92,68
1608226111,94,60
1608228007,96,96
1608229923,101,112
1608231873,94,76
1608233764,124,91
1608235712,118,57
1608237849,124,48
1608239763,93,81
1608241711,83,84
1608243604,95,97
1608245524,103,94
1608247473,81,69
1608249365,109,88
1608251539,1542,0
1608253477,60,62
1608255367,70,47
1608257293,52,53
1608259230,56,78
1608261128,44,58
1608263050,44,52
1608264988,78,64
1608266885,46,48
1608268804,58,54
1608270750,75,86
1608272647,61,71
1608274566,66,87
1608276512,63,66
1608278407,51,51
1608280326,67,54
1608282273,80,39
1608284164,56,100
1608286090,52,77
1608288028,54,104
1608289923,57,3911
1608291846,77,91
1608293797,1803,0
1608295686,127,52
1608297603,82,48
1608299549,94,75
1608301448,100,83
1608303614,103,88
1608305526,82,72
1608307483,93,66
1608309363,147,74
1608311312,94,73
1608313204,92,75
1608315128,107,108
1608317070,95,89
1608318966,117,99
1608320883,120,65
1608322827,98,86
1608324733,92,58
1608326648,100,51
1608328588,113,75
1608330483,105,90
1608332413,128,87
1608334354,85,90
1608336253,1494,0
1608338207,88,49
1608340115,57,34
1608342017,61,52
1608343954,67,55
1608345847,78,39
1608347763,59,58
1608349716,72,65
1608351610,71,54
1608353526,64,60
1608355478,42,63
1608357370,79,81
1608359286,75,72
1608361246,98,85
1608363130,42,68
1608365052,52,49
1608366996,58,65
1608368899,51,52
1608370831,61,61
1608372732,46,67
1608374649,72,77
1608376591,78,3877
1608378486,71,77
1608380432,1597,0
1608382328,91,70
1608384252,69,80
1608386190,109,63
1608388084,102,52
1608390018,111,56
1608391947,75,60
1608393859,84,58
1608395791,95,60
1608397687,89,68
1608399609,113,84
1608401553,104,66
1608403447,116,56
1608405364,95,72
1608407307,85,56
1608409206,76,47
1608411125,88,104
1608413072,135,60
1608414966,106,72
1608416883,82,56
1608418839,104,72
1608420731,63,79
1608422648,1324,0
1608424592,93,68
1608426492,71,53
1608428407,69,40
1608430350,216,45
1608432247,36,44
1608434409,64,54
1608436327,70,49
1608438297,45,38
1608440167,51,45
1608442334,76,70
1608444273,64,67
1608446167,46,45
1608448089,93,63
1608450035,65,60
1608451930,64,42
1608453852,58,69
1608455790,67,73
1608457685,61,53
1608459607,59,55
1608461553,82,70
1608463448,48,4113
1608465367,87,105
1608467310,1823,0
1608469216,109,94
1608471153,92,71
1608473053,72,69
1608474966,97,106
1608476914,83,54
1608478805,54,81
1608480728,33,90
1608482671,21,70
1608484565,32,57
1608486484,146,99
1608488436,162,91
1608490325,75,104
1608492245,99,75
1608494192,91,64
1608496084,82,53
1608498016,201,66
1608499953,137,56
