DateTime,Entries,UniqueIPs
1607808603,12821,12821
1607811303,12562,12562
1607814003,12450,12450
1607816703,12222,12222
1607819404,11843,11843
1607822104,11327,11327
1607824803,10883,10883
1607827503,10533,10533
1607830203,10627,10627
1607832902,10551,10551
1607835603,10087,10087
1607838303,9961,9961
1607841002,9766,9766
1607843702,9830,9830
1607846403,9750,9750
1607849103,9651,9651
1607851803,9516,9516
1607854504,9676,9676
1607857203,9703,9703
1607859904,9664,9664
1607862603,9552,9552
1607865303,9431,9431
1607868003,9596,9596
1607870704,9624,9624
1607873403,9940,9940
1607876104,9785,9785
1607878804,9612,9612
1607881503,9708,9708
1607884203,9764,9764
1607886904,9931,9931
1607889604,9700,9700
1607892304,9458,9458
1607895004,9437,9437
1607897704,9354,9354
1607900404,9114,9114
1607903105,9007,9007
1607905804,8841,8841
1607908504,8518,8518
1607911204,8160,8160
1607913904,8127,8127
1607916604,8254,8254
1607919304,8154,8154
1607922004,7603,7603
1607924705,7259,7259
1607927404,7078,7078
1607930105,6913,6913
1607932804,6696,6696
1607935504,6664,6664
1607938205,6119,6119
1607940904,5985,5985
1607943604,6424,6424
1607946304,6792,6792
1607949005,7014,7014
1607951705,6986,6986
1607954404,7099,7099
1607957104,7096,7096
1607959804,7315,7315
1607962505,7297,7297
1607965204,7359,7359
1607967904,7366,7366
1607970604,7578,7578
1607973305,7836,7836
1607976004,7326,7326
1607978704,6692,6692
1607981404,6750,6750
1607984104,6795,6795
1607986804,6620,6620
1607989504,6659,6659
1607992205,6271,6271
1607994904,6186,6186
1607997604,6541,6541
1608000305,6518,6518
1608003004,6258,6258
1608005705,5908,5908
1608008404,5921,5921
1608011104,5736,5736
1608013805,5506,5506
1608016505,5543,5543
1608019205,5573,5573
1608021906,4801,4801
1608024605,4790,4790
1608027306,4711,4711
1608030006,4875,4875
1608032707,5203,5203
1608035406,5670,5670
1608038104,6153,6153
1608040805,6582,6582
1608043505,6966,6966
1608046204,7549,7549
1608048904,8043,8043
1608051605,8372,8372
1608054305,8620,8620
1608057004,9021,9021
1608059705,9258,9258
1608062404,9586,9586
1608065103,9979,9979
1608067804,10140,10140
1608070504,10208,10208
1608073203,10185,10185
1608075904,9838,9838
1608078603,9656,9656
1608081303,9568,9568
1608084003,9403,9403
1608086704,9273,9273
1608089402,8637,8637
1608092103,7955,7955
1608094804,7511,7511
1608097504,7121,7121
1608100203,6542,6542
1608102903,6326,6326
1608105603,6024,6024
1608108303,5838,5838
1608111002,5373,5373
1608113703,4775,4775
