DateTime,AddedIPs,RemovedIPs
1608704524,16,16
1608705124,18,0
1608705724,94,10
1608706924,30,29
1608707524,32,0
1608708124,16,0
1608709324,24,53
1608710524,17,15
1608711723,19,10
1608712924,13,0
1608713524,12,37
1608714123,26,0
1608715324,17,26
1608716523,19,65
1608717723,17,0
1608718324,22,10
1608718924,17,14
1608720124,34,58
1608721324,18,15
1608721924,15,25
1608723124,18,45
1608723723,17,0
1608724924,22,30
1608725523,7,13
1608726724,18,54
1608727323,30,0
1608727924,18,32
1608728523,16,0
1608729123,14,48
1608729723,30,32
1608730924,47,33
1608732124,13,26
1608733323,23,10
1608734523,16,66
1608735124,37,0
1608735724,20,0
1608736323,16,31
1608736924,10,0
1608738123,81,22
1608739324,88,21
1608739923,6,24
1608740523,49,49
1608741723,16,38
1608742923,37,0
1608744123,33,67
1608744724,44,0
1608745323,37,39
1608746523,62,36
1608747123,33,34
1608747724,34,0
1608748324,23,23
1608748923,34,18
1608750123,24,50
1608751323,52,32
1608752524,27,35
1608753123,41,0
1608753723,27,35
1608754323,39,0
1608754923,21,0
1608755524,28,86
1608756723,17,40
1608757324,24,13
1608757923,15,0
1608758524,12,25
1608759723,32,23
1608760923,38,55
1608762123,25,13
1608763324,28,22
1608763923,33,17
1608764524,23,58
1608765723,37,0
1608766324,35,13
1608766924,13,5
1608767523,33,23
1608768124,21,0
1608768724,26,26
1608769323,12,0
1608769924,23,24
1608770524,19,111
1608771724,40,0
1608772323,30,31
1608772924,22,28
1608774124,22,0
1608775323,14,60
1608776524,24,35
1608777724,18,16
1608778324,22,27
1608778924,31,19
1608780124,20,0
1608780724,26,14
1608781923,22,11
1608782524,20,0
1608783123,23,36
1608784324,29,30
1608784923,30,0
1608786123,26,69
1608787323,33,37
1608788524,23,29
1608789723,20,0
1608790924,33,46
1608792124,38,68
1608793323,29,110
1608794524,29,86
1608795123,24,0
1608795724,21,32
1608796924,24,0
1608797523,22,29
1608798123,34,0
1608799323,27,47
1608799924,26,32
1608800524,18,0
1608801123,25,12
1608801723,16,13
1608802923,26,0
1608804124,22,45
1608805324,33,66
1608805924,19,0
1608806523,23,29
1608807724,25,42
1608808323,24,0
1608808923,24,24
1608810124,35,11
1608811324,28,16
1608812523,31,39
1608813724,33,22
