DateTime,AddedIPs,RemovedIPs
1608688323,7,7
1608688924,13,13
1608690124,84,84
1608690724,13,13
1608691324,25,25
1608692524,28,28
1608693724,35,35
1608694324,5,5
1608695523,23,23
1608696124,6,6
1608697324,15,15
1608697925,4,4
1608699124,18,18
1608699723,4,4
1608700924,15,15
1608702123,17,17
1608703324,17,17
1608703924,11,11
1608705124,36,36
1608705724,5,5
1608706924,17,17
1608707524,7,7
1608708724,23,23
1608709925,12,12
1608711124,11,11
1608712324,34,34
1608712924,4,4
1608713524,11,11
1608714123,7,7
1608715324,22,22
1608715924,17,17
1608716523,9,9
1608717723,19,19
1608718324,12,12
1608719525,71,71
1608720124,11,11
1608721324,22,22
1608722524,23,23
1608723124,10,10
1608724323,17,17
1608724924,12,12
1608725523,9,9
1608726123,10,10
1608726724,17,17
1608727323,10,10
1608727924,19,19
1608728523,19,19
1608729123,7,7
1608729723,11,11
1608730924,16,16
1608732124,9,9
1608732723,4,4
1608733925,11,11
1608734523,6,6
1608735724,14,14
1608736924,10,10
1608738123,92,92
1608739323,26,26
1608739923,13,13
1608740523,9,9
1608741123,11,11
1608742324,18,18
1608742923,13,13
1608743524,18,18
1608744724,26,26
1608745323,21,21
1608745923,7,7
1608747123,22,22
1608747724,7,7
1608748324,12,12
1608749524,15,15
1608750724,26,26
1608751323,5,5
1608752524,15,15
1608754323,47,47
1608755524,19,19
1608756123,20,20
1608756723,7,7
1608758524,20,20
1608759723,20,20
1608760923,25,25
1608762123,12,12
1608763324,13,13
1608763923,15,15
1608764523,13,13
1608765723,16,16
1608766324,16,16
1608767523,11,11
1608768124,11,11
1608768724,12,12
1608769323,11,11
1608769924,10,10
1608770524,14,14
1608771724,25,25
1608772323,13,13
1608773524,30,30
1608774124,15,15
1608775323,13,13
1608775924,11,11
1608776524,7,7
1608777724,17,17
1608778324,7,7
1608779523,15,15
1608780724,21,21
1608781323,7,7
1608782524,16,16
1608783723,15,15
1608784324,8,8
1608784923,14,14
1608785523,9,9
1608787323,40,40
1608788524,11,11
1608789723,32,32
1608790924,17,17
1608792723,32,32
1608793323,12,12
1608794523,13,13
1608795724,12,12
1608796924,21,21
1608797523,10,10
1608798123,9,9
1608798724,6,6
1608799323,10,10
1608800524,15,15
1608801123,9,9
1608802324,10,10
1608802923,10,10
1608804124,81,81
1608804723,9,9
1608805324,8,8
1608805924,11,11
1608806523,11,11
1608807724,18,18
1608808323,16,16
1608808923,18,18
1608810124,16,16
1608810723,9,9
1608811923,18,18
1608812523,11,11
1608813724,21,21
1608814923,19,19
1608815524,11,11
1608816123,10,10
1608816724,16,16
1608817323,16,16
1608818523,15,15
1608819723,17,17
1608820924,21,21
1608822124,19,19
1608822723,13,13
1608823324,14,14
1608823924,12,12
1608825123,18,18
1608826324,22,22
1608826923,13,13
1608828124,18,18
1608828723,20,20
1608829323,6,6
1608830523,14,14
1608831724,14,14
1608832323,6,6
1608832923,11,11
1608834724,16,16
1608835924,19,19
1608836523,8,8
1608837724,20,20
1608838924,13,13
1608840123,41,41
1608841324,25,25
1608841924,18,18
1608843724,29,29
1608844323,15,15
1608844923,21,21
1608846124,10,10
1608847323,17,17
1608848523,34,34
1608849723,13,13
1608850323,10,10
1608851523,29,29
1608852724,30,30
1608853323,6,6
1608854524,36,36
1608855724,18,18
1608856324,13,13
1608857524,24,24
1608858123,21,21
1608859324,31,31
1608860524,35,35
1608861723,35,35
1608862924,43,43
1608864124,20,20
1608864723,10,10
1608866524,22,22
1608867124,15,15
1608868324,10,10
1608869523,27,27
1608870123,11,11
1608870724,7,7
1608871323,17,17
1608872523,14,14
1608873724,36,36
1608874324,26,26
1608876124,18,18
1608877324,20,20
1608878524,31,31
1608879123,9,9
1608879726,12,12
1608880324,13,13
1608882123,35,35
1608883925,25,25
1608884523,17,17
1608885724,15,15
1608886324,11,11
1608887524,17,17
1608888124,9,9
1608888725,12,12
1608889324,16,16
1608890524,10,10
1608891124,10,10
1608891723,17,17
1608892924,21,21
1608893524,11,11
1608894124,6,6
1608895324,25,25
1608896524,16,16
1608897124,11,11
1608897724,16,16
1608898324,6,6
1608898923,12,12
1608900123,15,15
1608901323,14,14
1608902524,19,19
1608903724,8,8
1608904923,11,11
1608906123,3,3
1608907324,13,13
1608907924,9,9
1608908523,11,11
1608909123,8,8
1608909724,7,7
1608911524,23,23
1608912123,5,5
1608913324,18,18
1608913924,13,13
1608914524,4,4
1608915123,8,8
1608915723,8,8
1608916324,15,15
1608917524,13,13
1608918123,9,9
1608919324,21,21
1608919923,5,5
1608921124,25,25
1608922324,21,21
1608922923,6,6
1608924124,45,45
1608924724,23,23
1608925324,13,13
1608925923,22,22
1608927124,42,42
1608927724,10,10
1608928924,71,71
1608929523,12,12
1608930724,40,40
1608931324,10,10
1608932524,11,11
1608933724,28,28
1608934324,16,16
1608934923,10,10
1608936124,34,34
1608936724,20,20
1608937323,18,18
1608938524,17,17
1608939124,10,10
1608939724,28,28
1608940324,19,19
1608942724,31,31
1608943323,8,8
1608944524,23,23
1608945723,24,24
1608946923,32,32
1608948123,21,21
1608949323,19,19
1608950523,20,20
1608951723,32,32
1608952923,13,13
1608954124,20,20
1608954724,15,15
1608956524,41,41
1608957723,20,20
1608958923,18,18
1608960123,18,18
1608961323,17,17
1608961923,11,11
1608963123,26,26
1608963723,6,6
1608964923,20,20
1608966124,15,15
1608967324,15,15
1608967924,9,9
1608969123,11,11
1608969724,8,8
1608970923,12,12
1608972123,13,13
1608973323,15,15
1608974523,18,18
1608975723,13,13
1608976923,11,11
1608978123,11,11
1608979323,9,9
1608979924,10,10
1608980524,43,43
1608981123,9,9
1608982324,17,17
1608982923,7,7
1608983523,8,8
1608984123,6,6
1608984724,11,11
1608985324,7,7
1608985924,7,7
1608986523,9,9
1608987724,15,15
1608988323,13,13
1608988923,3,3
1608990124,7,7
1608991324,16,16
1608991923,9,9
1608993724,26,26
1608994323,9,9
1608995523,25,25
1608996724,12,12
1608997324,12,12
1608997924,15,15
1608998523,10,10
1608999724,16,16
1609000324,10,10
1609000924,22,22
1609002123,19,19
1609002723,32,32
1609003924,18,18
1609005124,22,22
1609006324,17,17
1609006923,15,15
1609007525,17,17
1609008724,30,30
1609009323,17,17
1609010524,29,29
1609011125,2,2
1609012923,26,26
1609013524,28,28
1609014123,2,2
1609014724,6,6
1609015323,27,27
1609016524,54,54
1609018323,65,65
1609019523,23,23
1609020124,15,15
1609021323,37,37
1609022524,20,20
1609023724,44,44
1609024324,6,6
1609024924,29,29
1609026123,49,49
1609027324,7,7
1609028523,45,45
1609029723,15,15
1609030923,27,27
1609032123,21,21
1609033324,22,22
1609033923,14,14
1609035123,25,25
1609035723,8,8
1609036924,36,36
1609038123,37,37
1609038724,17,17
1609039924,26,26
1609041124,56,56
1609041724,7,7
1609042924,25,25
1609044124,26,26
1609045324,29,29
1609046523,16,16
1609047723,19,19
1609048323,6,6
1609049523,32,32
1609050124,52,52
1609051323,41,41
1609051924,16,16
1609053124,34,34
1609054324,54,54
1609054924,25,25
1609056123,14,14
1609056724,6,6
1609057324,16,16
1609059124,22,22
1609059724,25,25
1609060324,18,18
1609061524,33,33
1609062124,7,7
1609063323,29,29
1609063923,20,20
1609065123,20,20
1609065723,13,13
1609066324,19,19
1609067524,28,28
1609068124,7,7
1609068724,8,8
1609069924,24,24
1609070523,21,21
1609071123,11,11
1609071723,14,14
