DateTime,AddedIPs,RemovedIPs
1604544744,1,0
1604552411,1,0
1604556257,1,0
1604560372,2,0
1604570572,41,0
1604574541,2,0
1604578562,1,0
1604586512,2,0
1604601311,3,0
1604608670,3,0
1604616330,2,0
1604623712,2,0
1604631382,1,0
1604643325,2,0
1604647288,1,0
1604655390,2,0
1604671402,2,0
1604683230,1,0
1604687177,2,0
1604695164,1,0
1604703084,4,0
1604711029,2,0
1604718980,1,0
1604727263,3,0
1604735310,1,0
1604743225,1,0
1604747169,1,0
1604753686,1,0
1604761934,3,0
1604769945,2,0
1604780370,1,0
1604788454,1,0
1604792455,1,0
1604796142,1,0
1604800159,2,0
1604804171,1,0
1604808182,1,0
1604812210,1,0
1604816219,4,0
1604824354,3,0
1604828377,1,0
1604836663,1,0
1604845054,1,0
1604861439,2,0
1604869484,1,0
1604877562,9,0
1604881633,1,0
1604885596,2,0
1604889649,1,0
1604901852,2,0
1604908419,4,0
1604916554,1,0
1604928701,2,0
1604937635,3,0
1604945679,1,0
1604953372,3,0
1604961407,2,0
1604969494,3,0
1604979788,2,0
1604987754,3,0
1604991736,1,0
1605003629,1,0
1605011576,2,0
1605019640,2,0
1605027754,5,0
1605035767,1,0
1605039666,1,0
1605043784,4,0
1605051660,2,0
1605055579,1,0
1605059513,3,0
1605067360,1,0
1605075221,2,0
1605083134,4,0
1605091050,4,0
1605101550,1,0
1605109461,1,0
1605117364,5,0
1605125286,2,0
1605133097,3,0
1605136982,1,0
1605144403,20,0
1605148463,19,0
1605155825,1,0
1605164106,3,0
1605172263,2,0
1605205116,3,0
1605209166,2,0
1605213303,1,0
1605221527,3,0
1605229796,4,0
1605238076,3,0
1605246441,3,0
1605262973,1,0
1605279428,2,0
1605283540,2,0
1605287837,1,0
1605291951,3,0
1605304489,4,0
1605313375,3,0
1605317477,1,0
1605325699,1,0
1605329782,2,0
1605333909,2,0
1605350411,1,0
1605362769,1,0
1605366975,1,0
1605375218,2,0
1605387578,1,0
1605394055,3,0
1605402126,2,0
1605405568,1,0
1605409417,1,0
1605421791,3,0
1605431034,12,0
1605435207,1,0
1605439535,2,0
1605450356,1,0
1605467172,3,0
1605479638,1,0
1605487958,1,0
1605492132,3,0
1605500491,1,0
1605505026,3,0
1605521713,1,0
1605530150,4,0
1605538441,1,0
1605550792,2,0
1605554924,1,0
1605563193,2,0
1605571463,2,0
1605579778,2,0
1605596480,3,0
1605621201,3,0
1605625295,1,0
1605629508,1,0
1605637824,2,0
1605642012,1,0
1605658704,1,0
1605662831,2,0
1605666978,1,0
1605679244,3,0
1605687362,2,0
1605695480,2,0
1605703566,4,0
1605711433,1,0
1605728044,1,0
1605732418,1,0
1605738881,4,0
1605743138,2,0
1605751424,5,0
1605755578,1,0
1605763911,2,0
1605772046,1,0
1605796938,1,0
1605805213,2,0
1605808702,1,0
1605812863,4,0
