DateTime,AddedIPs,RemovedIPs
1605936782,1,1
1605951181,0,2
1605958381,0,1
1605961981,0,1
1605965582,1,0
1605969181,1,0
1605972781,0,1
1605979981,0,1
1605990781,1,0
1606001582,1,0
1606015981,0,1
1606019581,0,1
1606023181,1,0
1606030381,2,0
1606037582,2,1
1606041182,1,1
1606044781,0,2
1606051981,0,1
1606055581,1,0
1606059181,1,3
1606062781,0,1
1606066381,3,1
1606069981,0,1
1606080781,1,0
1606084381,0,1
1606087981,2,0
1606091582,1,0
1606095181,0,2
1606102381,0,2
1606113181,0,1
1606116782,3,0
1606120382,0,2
1606123982,0,1
1606127581,1,0
1606131181,1,1
1606134781,1,0
1606145581,0,3
1606152782,1,1
1606156381,0,3
1606167181,0,2
1606170781,1,0
1606174381,0,3
1606185181,1,0
1606188781,0,1
1606195982,1,1
1606199581,1,0
1606210382,0,1
1606213982,1,0
1606217582,2,0
1606221182,1,0
1606224781,3,0
1606228382,1,0
1606235582,1,0
1606239182,2,0
1606242781,1,0
1606246382,4,1
1606249981,1,0
1606253581,0,2
1606257181,1,1
1606271581,1,0
1606275181,0,1
1606282381,1,1
1606285982,2,1
1606289581,0,1
1606293181,0,1
1606307581,1,2
1606311181,1,3
1606314781,1,1
1606318381,2,0
1606321981,0,2
1606325582,2,2
1606332782,2,0
1606339982,0,1
1606343581,1,1
1606347181,1,1
1606365182,0,5
1606372381,1,2
1606375981,1,0
1606383182,0,1
1606386781,0,1
1606401181,0,1
1606411981,1,1
1606419181,0,4
1606429982,0,1
1606447982,0,1
1606458781,2,0
1606462382,1,1
1606473181,2,1
1606480381,1,1
1606483981,1,0
1606487581,5,1
1606494781,1,0
1606501981,3,1
1606505581,1,0
1606512781,1,1
1606516382,2,1
1606519982,0,1
1606537981,1,0
1606552381,0,1
1606566781,0,2
1606570381,1,1
1606573981,1,3
1606577581,2,0
1606581181,1,1
1606588381,0,2
1606606381,1,0
1606609981,4,0
1606617182,1,0
1606627981,1,0
1606631581,0,1
1606638781,0,3
1606649581,1,0
1606660382,0,2
1606663981,2,0
1606667581,2,0
1606671182,0,1
1606674781,2,0
1606678382,1,0
1606681981,0,1
1606689181,1,1
1606692782,0,1
1606696381,1,0
1606707181,0,2
1606714382,1,3
1606721582,0,1
1606725181,0,1
1606728781,1,0
1606732382,2,0
1606735981,1,0
1606739581,0,1
1606743182,1,0
1606753981,1,0
1606761181,0,4
1606771981,1,0
1606779182,0,1
1606797182,1,0
1606804382,1,0
1606811581,1,0
1606815181,1,2
1606822382,1,2
1606825981,3,2
1606829581,1,1
1606833181,2,1
1606836781,3,2
1606840381,0,2
1606847581,0,1
1606851181,0,2
1606858381,1,0
1606861981,1,0
1606865581,0,1
1606869182,1,0
1606872781,0,1
1606879981,0,1
1606883581,1,0
1606887181,1,1
1606890781,1,1
1606894381,1,0
1606897981,0,5
1606901582,1,0
1606908782,1,1
1606912381,2,0
1606915981,0,1
1606919581,0,2
1606923182,0,1
1606926781,0,2
1606933981,1,3
1606944781,0,3
1606948381,2,0
1606966381,0,1
1606969981,1,0
1606973581,1,0
1606980781,0,1
1606984381,0,4
1606987981,1,0
1606991582,1,0
1606998781,1,1
1607002381,1,1
1607005981,1,0
1607009582,0,2
1607013181,0,1
1607016782,1,0
1607020381,1,2
1607023981,0,1
1607031181,0,1
1607034781,1,0
1607041981,2,0
1607052781,0,2
1607056382,1,0
1607059981,0,2
1607081581,2,1
1607085181,4,0
1607092382,1,0
1607095981,0,3
1607099581,1,0
1607103181,0,1
1607106781,1,3
1607113981,0,1
1607135582,0,1
1607146382,1,0
1607160782,0,1
1607167982,0,2
1607171581,0,2
1607178781,1,0
1607182381,1,4
1607189582,0,1
1607193181,2,4
1607200382,1,0
1607207581,0,2
1607211182,1,1
1607218381,0,1
1607232782,0,1
1607236382,0,1
1607239982,1,0
1607243581,1,1
1607247182,0,1
1607250781,0,1
1607254382,1,0
1607257982,1,1
1607261581,0,1
1607265181,1,2
1607268781,0,1
1607272381,1,2
1607275981,2,1
1607279581,0,2
1607286781,1,0
1607290381,2,0
1607293981,0,1
1607301181,1,2
1607304782,1,0
1607308381,0,1
1607329982,1,0
1607337181,0,3
1607340781,0,3
1607344381,1,0
1607347981,0,6
1607355182,1,5
1607358782,1,0
1607380381,0,1
